month,county_id,w
1,buan,0.000850967421159673
1,gimje,0.02075109424090363
1,gochang,0.0028348284619526504
1,gunsan,8.30212118204559e-05
1,iksan,0.4439647073968932
1,imsil,0.0006759310329048784
1,jangsu,0.015141685349187483
1,jeongeup,0.001130126245905956
1,jeonju,0.0356269387514077
1,jinan,0.0011413687016733093
1,muju,2.0294074000555886e-05
1,namwon,0.27211475166069
1,sunchang,0.021446004845288576
1,wanju,0.18421828060621195
2,buan,0.0010802768641095678
2,gimje,0.021905838126878532
2,gochang,0.002059454804268583
2,gunsan,0.0
2,iksan,0.44355814629876256
2,imsil,0.000743425708015701
2,jangsu,0.015477068674524997
2,jeongeup,0.0011323733139297772
2,jeonju,0.03303276608717127
2,jinan,0.0005776147573123163
2,muju,2.658204465941252e-05
2,namwon,0.27713257732458596
2,sunchang,0.022966232928896532
2,wanju,0.18030764306688485
3,buan,0.0012445596968459738
3,gimje,0.02212590888843164
3,gochang,0.0025719994608399874
3,gunsan,5.4507430853387756e-05
3,iksan,0.42661648999239177
3,imsil,0.00048529196501725876
3,jangsu,0.018293117385868373
3,jeongeup,0.0012578109168393634
3,jeonju,0.03130361753910059
3,jinan,0.0010156604564294013
3,muju,8.024261081642421e-05
3,namwon,0.30608586255072157
3,sunchang,0.02268020630183426
3,wanju,0.16618472480401003
4,buan,0.0011395422399911855
4,gimje,0.019645582419839422
4,gochang,0.0014072456875927767
4,gunsan,3.1909637307238364e-05
4,iksan,0.43141194514874487
4,imsil,0.0009668006457221932
4,jangsu,0.02914017994181983
4,jeongeup,0.0016908962832620957
4,jeonju,0.03052310220155173
4,jinan,0.002429098128255847
4,muju,0.00017565641690763428
4,namwon,0.30517564805596903
4,sunchang,0.020995467466138083
4,wanju,0.15526692572689807
5,buan,0.0009787588436413494
5,gimje,0.0171187802211195
5,gochang,0.0007617543668718279
5,gunsan,1.0447258166345601e-05
5,iksan,0.42635612798703154
5,imsil,0.0005023638712559899
5,jangsu,0.05702780639248623
5,jeongeup,0.0018158080925834822
5,jeonju,0.027485355705111868
5,jinan,0.006775808078255814
5,muju,0.00032013383952587596
5,namwon,0.30457767809567854
5,sunchang,0.01764706075495529
5,wanju,0.1386221164933163
6,buan,0.003447923178193457
6,gimje,0.015377020142967816
6,gochang,0.000969182424166389
6,gunsan,1.9310086249994468e-05
6,iksan,0.33832598678419995
6,imsil,0.0002049014707638302
6,jangsu,0.07521219591331527
6,jeongeup,0.0012360907274440904
6,jeonju,0.022792713944309446
6,jinan,0.015840232330988517
6,muju,0.0007239749797220148
6,namwon,0.3802457357898598
6,sunchang,0.014896850327617261
6,wanju,0.13070788190020213
7,buan,0.023129090006144576
7,gimje,0.02605704089622912
7,gochang,0.0023566791770164024
7,gunsan,0.00030255369711128303
7,iksan,0.27777447284519735
7,imsil,0.0030282482749242595
7,jangsu,0.07459745046369724
7,jeongeup,0.0010927388607386418
7,jeonju,0.023835099614518643
7,jinan,0.03953932584543058
7,muju,0.0013325571588900852
7,namwon,0.41104779830485805
7,sunchang,0.009041120641652987
7,wanju,0.10686582421359066
8,buan,0.013387654296532225
8,gimje,0.01665673376498012
8,gochang,0.0025523002510777753
8,gunsan,0.0003625047049070848
8,iksan,0.3194683043602106
8,imsil,0.0030638890133999432
8,jangsu,0.08868687481782762
8,jeongeup,0.0009613617249388511
8,jeonju,0.02341101285248956
8,jinan,0.03218878116319454
8,muju,0.0014927217609951831
8,namwon,0.3698698617985614
8,sunchang,0.00852606551093037
8,wanju,0.11937193397995462
9,buan,0.00650892323044066
9,gimje,0.012359814708365514
9,gochang,0.0010461844692775807
9,gunsan,4.709442934671946e-05
9,iksan,0.37096233611723234
9,imsil,0.001103816008386808
9,jangsu,0.08454599472872482
9,jeongeup,0.0005438922742669247
9,jeonju,0.022479364616152093
9,jinan,0.02277679066742811
9,muju,0.0008060888968318625
9,namwon,0.34123225724766465
9,sunchang,0.008565810064693499
9,wanju,0.12702163254118837
10,buan,0.0007642313487123766
10,gimje,0.011292697901822397
10,gochang,0.0019330219128952356
10,gunsan,6.905704958244366e-05
10,iksan,0.3947583992123199
10,imsil,0.0007321965507116318
10,jangsu,0.08107498078247813
10,jeongeup,0.0007007851844085065
10,jeonju,0.02454652009921733
10,jinan,0.01638202981342454
10,muju,0.0005866012711753132
10,namwon,0.32566625522092874
10,sunchang,0.01024998440941193
10,wanju,0.13124323924291145
11,buan,0.0007740001614772002
11,gimje,0.012559150621758688
11,gochang,0.0020952422258059757
11,iksan,0.44052947655209335
11,imsil,0.00044575711713618993
11,jangsu,0.05472131113932537
11,jeongeup,0.0009630232321748507
11,jeonju,0.026044120194087913
11,jinan,0.007249576898289251
11,muju,0.00042768588265769576
11,namwon,0.3128178265601734
11,sunchang,0.01254929822555996
11,wanju,0.12882353118946008
12,buan,0.0006379202752020757
12,gimje,0.014987011590003254
12,gochang,0.003010032705101498
12,gunsan,4.4806441117938303e-05
12,iksan,0.4762706545191756
12,imsil,0.0007626239161706234
12,jangsu,0.026099031847681097
12,jeongeup,0.0007204921452622763
12,jeonju,0.02606626142250632
12,jinan,0.0026366075950701095
12,muju,0.00017362495933201093
12,namwon,0.2847404526603861
12,sunchang,0.01563493330295487
12,wanju,0.1482155466200361
