min_obs,n_valid,median_mape,mean_mape,n_over_100,n_beat_baseline,median_mape_common,mean_mape_common,n_worse_than_1,n_better_than_1
1,93,28.56954770937118,32.985660391092026,3,64,26.36283424129661,29.713784749914552,0,0
2,88,26.22399810499303,30.07750534432089,1,68,25.443915169312987,27.30346739622531,10,23
3,76,24.451569540391613,26.99673576183364,0,61,24.451569540391613,26.391577276222854,12,25
5,70,24.45030029284097,26.049082191280238,0,58,24.45030029284097,26.049082191280238,14,33
