ym,county,month,qty_all,qty_main,price_main,price_all,jjong_share,sokum_share,qty_next_chg,price_next_chg,jjong_share_adj,sokum_share_adj,qty_next_chg_adj,price_next_chg_adj
2018-01,고창군,1,3264.0,3264.0,4444.454656862745,4444.454656862745,0.0,0.0,-0.021053409197831385,-0.10780242643599891,-7.818654158874606,0.0,0.10840004430681305,0.4556577002611236
2018-02,고창군,2,3288.0,3196.0,3990.253441802253,3924.771897810219,2.798053527980535,0.0,0.4435298631325324,-0.18109050514869907,-4.453816731454825,-0.20990764063811923,-0.19568033181153477,-0.18560193315496992
2018-03,고창군,3,6244.0,4980.0,3329.3072289156626,3047.3014093529787,19.282511210762333,0.0,-0.5497251033797275,-0.3177245877588648,9.340518542622958,-0.8378173933644988,0.4316034477387385,-0.2126753809633261
2018-04,고창군,4,5142.0,2874.0,2423.0804773834375,2280.5101695838193,44.1073512252042,0.0,0.004859433373746391,-0.14802802170671647,26.90451187366789,0.0,0.12161010548322901,-0.13478326830761972
2018-05,고창군,5,4424.0,2888.0,2089.6814404432134,1752.983725135624,29.475587703435806,0.0,0.6693198444793875,-0.19726089058445595,-3.6384217562016516,0.0,0.976594712407227,-0.2398450943148509
2018-06,고창군,6,6092.0,5640.0,1715.579188652482,1711.4029258043336,7.419566644780039,0.0,-0.6233036071926801,0.5497742346347883,2.776979275525483,0.0,-1.797362529225008,-0.2252981424219005
2018-07,고창군,7,3528.0,3024.0,2972.8615611772484,2694.9924492630385,14.285714285714285,0.0,-0.16657319982581598,0.6656195807124607,5.462371909816781,0.0,0.2886315041421834,0.28527064810725633
2018-08,고창군,8,3024.0,2560.0,5784.28384765625,5099.955902777778,15.343915343915343,0.0,0.3001045924503387,0.592631905257683,4.469474716539668,0.0,1.0821689985062073,0.41174832860185817
2018-09,고창군,9,3628.0,3456.0,10462.280579861112,10151.251842337377,4.740904079382579,0.0,0.3133904291619878,-1.155713343013689,0.7087072986000118,0.0,-0.619196353730758,-0.6251033702419134
2018-10,고창군,10,5236.0,4728.0,3293.869852580372,3162.7801113445375,9.702062643239113,0.0,-0.7434613480723531,-0.7431412993629092,5.971943701723113,0.0,-0.5575934432400594,-0.051552556875192335
2018-11,고창군,11,2420.0,2248.0,1566.6221757117437,1518.2506822314049,7.107438016528926,0.0,0.5722454076909074,-0.08209526637856257,3.7704650230418943,0.0,0.20550736761221455,-0.18813619898046396
2018-12,고창군,12,3984.0,3984.0,1443.1475903614457,1443.1475903614457,0.0,0.0,0.09018571763859029,0.44043741787615165,-4.939170449299344,0.0,0.2897405356276016,0.08257375988849003
2019-01,고창군,1,4964.0,4360.0,2241.766055045872,2110.193392425463,12.167606768734892,0.0,-0.5626018932897097,-0.2273585246662,4.3489526098602855,0.0,-0.43314843978506523,0.33610160203092254
2019-02,고창군,2,3176.0,2484.0,1785.8695652173913,1682.1158690176323,19.899244332493705,1.8891687657430731,0.6004101768296497,0.33846791934213805,12.647374073058344,1.6792611251049538,-0.03880001811441747,0.3339564913358672
2019-03,고창군,3,5844.0,4528.0,2505.2120141342757,2313.2101300479126,20.465434633812457,2.0533880903490758,-0.294774300761274,0.009393374027007795,10.523441965673081,1.215570696984577,0.686554250357192,0.11444258082254649
2019-04,고창군,4,4768.0,3372.0,2528.8552787663107,2396.5394295302012,29.278523489932883,0.0,-0.52036085691699,0.10844269034169063,12.075684138396575,0.0,-0.4036101848075073,0.12168744374078738
2019-05,고창군,5,3716.0,2004.0,2818.512974051896,2127.610333692142,46.07104413347686,0.0,-1.7057465945680148,-0.7107870312703906,12.957034673839402,0.0,-1.3984717266401754,-0.7533712350007855
2019-06,고창군,6,364.0,364.0,1384.6153846153845,1384.6153846153845,0.0,0.0,2.131627294850407,0.9807939416538245,-4.642587369254556,0.0,0.9575683728180793,0.20572156459713575
2019-07,고창군,7,3816.0,3068.0,3692.1773142112124,3253.301886792453,0.0,0.0,0.061927553596849094,0.5156461130967198,-8.823342375897504,0.0,0.5171322575648485,0.1352971804915154
2019-08,고창군,8,3576.0,3264.0,6183.363970588235,6286.744966442953,2.684563758389262,0.0,-0.3041569096552852,0.11091605029120366,-8.189876868986413,0.0,0.4779074964005834,-0.06996752636462111
2019-10,고창군,10,2408.0,2408.0,6908.679401993356,6908.679401993356,0.0,0.0,0.30293066793204204,-0.9983465762399932,-3.7301189415160003,0.0,0.4887985727643357,-0.3067578337522764
2019-11,고창군,11,3636.0,3260.0,2545.7668711656443,2473.7898789878986,10.34103410341034,0.0,0.08070317851888831,0.19821080929531032,7.004061109923309,0.0,-0.2860348615598045,0.09216987669340893
2019-12,고창군,12,4262.0,3534.0,3103.8483305036784,2846.152041295167,17.08118254340685,0.0,-0.11185834629868374,0.6096898923739609,12.142012094107507,0.0,0.08769647169032757,0.25182623438629925
2020-01,고창군,1,3296.0,3160.0,5710.648734177215,5573.922936893204,4.12621359223301,0.0,-0.4376222197426962,-1.075232533739217,-3.6924405666415963,0.0,-0.3081687662380518,-0.5117724070420945
2020-02,고창군,2,2400.0,2040.0,1948.578431372549,1974.2083333333333,15.0,0.0,0.7650117417895892,0.38361464890003916,7.748129740564639,-0.20990764063811923,0.12580154684552203,0.3791032208937683
2020-03,고창군,3,5720.0,4384.0,2859.6943430656934,2676.3811188811187,23.356643356643357,0.0,-0.23323075284761074,-0.44466273318706406,13.414650688503981,-0.8378173933644988,0.7480977982708552,-0.33961352639152537
2020-04,고창군,4,5972.0,3472.0,1833.1797235023041,1647.0696584058942,41.862022772940385,0.0,-0.17314718051791278,0.08777986472885058,24.659183421404077,0.0,-0.05639650840843016,0.10102461812794733
2020-05,고창군,5,4788.0,2920.0,2001.3698630136987,1554.1979949874687,39.01420217209691,0.0,-0.64240198155471,-0.19972069676564974,5.90019271245945,0.0,-0.3351271136268705,-0.2423049004960447
2020-06,고창군,6,2116.0,1536.0,1639.0407805989582,1391.0995458412099,27.410207939508506,0.0,-1.0233888674305227,1.2396103264113991,22.76762057025395,0.0,-2.1974477894628506,0.4645379493547104
2020-07,고창군,7,552.0,552.0,5661.684751811595,5661.684751811595,0.0,0.0,0.06317890162153184,0.37827666988335906,-8.823342375897504,0.0,0.5183836055895312,-0.0020722627218453527
2020-08,고창군,8,940.0,588.0,8264.739209183672,6352.304952127659,37.4468085106383,0.0,1.0498221244986778,-0.49424965699957646,26.572367883262622,0.0,1.8318865305545464,-0.6751332336554012
2020-09,고창군,9,2056.0,1680.0,5041.726183333333,4467.947464980544,18.28793774319066,0.0,0.09097177820572622,-0.9605571077519812,14.255740962408094,0.0,-0.8416150046870196,-0.42994713498020565
2020-10,고창군,10,2304.0,1840.0,1929.365924456522,1792.54917578125,20.13888888888889,0.0,0.32397207385698223,-0.03568338000259086,16.40876994737289,0.0,0.5098399786892759,0.655905362485126
2020-11,고창군,11,2564.0,2544.0,1861.733480345912,1851.111534321373,0.0,0.0,0.3063742054639338,0.7471230505583764,-3.3369729934870316,0.0,-0.06036383461475903,0.641082117956475
2020-12,고창군,12,3456.0,3456.0,3929.9672123842593,3929.9672123842593,0.0,0.0,0.13714176552593216,0.39058187010905954,-4.939170449299344,0.0,0.33669658351494347,0.032718212121397916
2021-01,고창군,1,4316.0,3964.0,5807.8645330474255,5557.084107738647,8.155699721964782,0.0,0.1796270452276829,-0.4107392947465822,0.3370455630901752,0.0,0.30908049873232735,0.15272083195054031
2021-02,고창군,2,5652.0,4744.0,3851.5422723440133,3553.4707254069353,16.065109695682946,0.0,0.3368335300556229,-0.23494211742513116,8.813239436247585,-0.20990764063811923,-0.3023766648884443,-0.23945354543140202
2021-03,고창군,3,8304.0,6644.0,3045.0932993678502,2830.2143401974954,19.990366088631983,0.0,-0.6273301273037148,0.13948438515129347,10.048373420492608,-0.8378173933644988,0.3539984238147511,0.24453359194683216
2021-04,고창군,4,5872.0,3548.0,3500.8854633596393,2905.916489100817,39.57765667574932,0.0,-2.5831523629186135,0.08668734372353804,22.37481732421301,0.0,-2.466401690809131,0.09993209712263479
2021-05,고창군,5,1688.0,268.0,3817.910447761194,1788.0331753554503,84.12322274881517,0.0,1.9373447861963902,-0.016481367331957486,51.00921328917771,0.0,2.2446196541242296,-0.05906557106235244
2021-06,고창군,6,1904.0,1860.0,3755.501766129032,3718.3998345588234,2.3109243697478994,0.0,-1.6761292869327722,-0.15010831447501083,-2.3316629995066562,0.0,-2.8501882089651,-0.9251806915316996
2021-07,고창군,7,940.0,348.0,3232.0402298850577,2348.6702127659573,62.97872340425532,0.0,-0.2915208487589469,0.7740686423293415,54.155381028357816,0.0,0.1636838552090525,0.39371970972413706
2021-08,고창군,8,448.0,260.0,7008.910234615384,5011.867546875,41.964285714285715,0.0,0.7084146526907338,-0.2972860236345536,31.08984508691004,0.0,1.4904790587466024,-0.47816960029037836
2021-09,고창군,9,528.0,528.0,5206.43940530303,5206.43940530303,0.0,0.0,1.627456417936779,0.586646589912931,-4.032196780782567,0.0,0.6948696350440332,1.1172565626847066
2021-10,고창군,10,2688.0,2688.0,9360.91270126488,9360.91270126488,0.0,0.0,-0.4652530264871375,-0.700423276787177,-3.7301189415160003,0.0,-0.27938512165484386,-0.008834534299460128
