model,mape,rmsle,worst
ridge,23.27933910350488,0.32011508716686016,29.449322592618195
seasonal_mean,25.4476571326886,0.33558478281863646,42.23287500200361
gbm,25.69303824319773,0.35457841658865524,37.25198488423731
rf,27.420300655993177,0.3379236547125251,45.842503909512004
ets,28.189517097364426,0.340778268676059,39.552968898589604
structural,30.527378173425934,0.3493931112650899,54.60363018487337
theta,33.67457611184811,0.3919138102517001,61.20838170491697
sarima,36.66295124435339,0.40585442325384724,73.9196756021426
