ym,actual,baseline_pred,model_pred,spike_prob,actual_spike,baseline_err_pct,model_err_pct
2025-01,8462.280919182085,15909.907109686723,8545.357222660394,0.01497745887666535,0,88.00967802454474,0.981724717859381
2025-02,6971.355473587142,9474.680150066986,8146.0513808770675,0.010763717754826652,0,35.90872228455949,16.850322892593518
2025-03,7259.298042678295,8590.604390008306,7995.33274354889,0.009423990593545373,0,18.33932619246515,10.139199362574141
2025-04,8124.50783027535,7639.831953268265,7751.233657403264,0.007520209203147887,0,-5.965602927982634,-4.594421972012981
2025-05,10177.956098636483,6871.473717383667,8852.18899025788,0.018928951805516347,0,-32.4867031180826,-13.02586782189218
2025-06,8801.247080047226,10604.607965768942,12619.795122656678,0.12954949336685306,0,20.489833648801962,43.38644294245814
2025-07,14546.489716732542,16370.166056815473,13639.052394869952,0.17854964334164736,0,12.536882612890397,-6.238187628309958
2025-08,16673.661952358492,21963.640466832003,17224.29897971633,0.38321008449114835,0,31.726554907905175,3.302436075117571
2025-09,30296.87753247808,26939.416159205623,26881.787727513434,0.8140141378080692,1,-11.081872611041446,-11.272085056632285
2025-10,21067.95669325864,19132.068131775995,23700.41938507415,0.710928528423823,1,-9.18878175832824,12.495102064918576
2025-11,9796.393000644965,9002.916081299762,9694.997625903714,0.033379792669946284,0,-8.099684437863639,-1.0350276345035878
2025-12,7748.082687331536,8078.635738265505,7215.950277791965,0.004362027508471922,0,4.266256108423286,-6.867923730468592
