variety,wk,산지,물량t,중도매,소매,도매배율,소매배율,소매_중도매,농가몫%,ym
적상추,2025-08-18,8256.949499489701,36.057199999999995,10880.0,15683.333333333334,1.3176779149094238,1.8994101071228062,1.441482843137255,52.647924545099045,2025-08
적상추,2025-08-25,5851.452444326913,39.3278,11256.0,15305.6,1.923624964415953,2.6156924533906194,1.359772565742715,38.23079424737947,2025-08
적상추,2025-09-01,6309.3697182549595,40.022,10933.0,15663.4,1.7328196774342526,2.4825617612296416,1.432671727796579,40.280971680828934,2025-09
적상추,2025-09-08,8109.764716581733,34.4385,10872.0,16308.6,1.340606094005468,2.0109831258919773,1.500055187637969,49.726921480579165,2025-09
적상추,2025-09-15,9915.199986838625,30.6199,12710.0,17501.0,1.2818702615046773,1.765067777072648,1.3769472856018883,56.655048207751705,2025-09
적상추,2025-09-22,9694.747668995105,35.4744,13975.0,18970.2,1.4415021903760965,1.9567502577368605,1.357438282647585,51.105142112339905,2025-09
적상추,2025-09-29,8637.482561185252,44.21,12615.0,20181.75,1.4604949892100212,2.336531490169587,1.599821640903686,42.79848160434676,2025-09
적상추,2025-10-06,5005.32185419573,23.655,11525.0,20086.0,2.302549233739909,4.012928755652912,1.742819956616052,24.919455611847706,2025-10
적상추,2025-10-13,4045.899412206066,40.783,10717.0,17038.8,2.6488547806373792,4.211375089700866,1.589885229075301,23.74521334956726,2025-10
적상추,2025-10-20,5399.833862570194,37.219,12103.0,15677.6,2.2413652545671576,2.9033485842354847,1.2953482607617945,34.442987846163916,2025-10
적상추,2025-10-27,7339.9865514877865,39.9755,11661.0,15318.6,1.5886950089351815,2.0870065486557303,1.3136609210187806,47.91551807272065,2025-10
적상추,2025-11-03,4694.616001281733,48.372,10012.0,16664.4,2.1326557906475214,3.549683295811682,1.6644426687974432,28.17152733540801,2025-11
적상추,2025-11-10,2168.945150173521,44.2022,6413.0,15726.6,2.9567368264185676,7.250805765531615,2.4523000155933263,13.791570652102306,2025-11
적상추,2025-11-17,1982.2300452631848,39.193,5576.0,12372.6,2.8129933825413604,6.241757877480494,2.21890243902439,16.02112769557882,2025-11
적상추,2025-11-24,1823.6476217830566,36.296099999999996,5251.0,11112.0,2.8793939888814033,6.093282423243221,2.1161683488859264,16.411515674793524,2025-11
적상추,2025-12-01,2287.139588508774,35.7699,4591.25,10558.25,2.0074201080982195,4.6163557541689135,2.2996460658861966,21.66210866865981,2025-12
적상추,2025-12-08,2017.027842092064,35.888,3943.0,9983.0,1.9548565060511585,4.949361526733126,2.531828556936343,20.20462628560617,2025-12
적상추,2025-12-15,2188.5962659532524,35.51,3906.0,9563.0,1.7847055945234946,4.369467383622166,2.448284690220174,22.886084554567105,2025-12
적상추,2025-12-22,2704.6634576709316,38.685,4465.0,9732.0,1.650852340736303,3.5982295588008286,2.179619260918253,27.791445311045333,2025-12
적상추,2025-12-29,6046.67022492172,31.553199999999997,7142.5,11197.0,1.1812286323407801,1.8517629676331417,1.567658382919146,54.00259198822649,2025-12
적상추,2026-01-05,6988.225499970729,34.164,8826.0,13257.0,1.2629815680728917,1.8970481132950745,1.5020394289598913,52.71347589930399,2026-01
적상추,2026-01-12,5172.4739559418385,36.588,7664.0,14101.4,1.4816894324225722,2.726238956467075,1.8399530271398747,36.68057041103606,2026-01
적상추,2026-01-19,4433.236157936508,37.8,7009.0,14116.4,1.5810120982281273,3.1842201716974654,2.0140390925952345,31.40486354833037,2026-01
적상추,2026-01-26,3329.16631207295,39.808,6128.0,14159.6,1.8407010721504984,4.253196948632866,2.3106396866840733,23.511725698981255,2026-01
적상추,2026-02-02,3407.250697440713,39.4055,5891.0,13671.0,1.7289599513252445,4.012325835098865,2.3206586318112374,24.923200186092554,2026-02
적상추,2026-02-09,2995.9112401560037,53.332,5507.0,13234.4,1.838171947882287,4.4174873482936885,2.4031959324496097,22.63730309009856,2026-02
적상추,2026-02-16,2417.6560796494464,22.4559,5055.0,12824.5,2.090868110874133,5.304517920456047,2.5369930761622155,18.851854494517887,2026-02
적상추,2026-02-23,1528.4934164647939,44.912800000000004,3411.8,11407.4,2.2321326106140837,7.463165936549357,3.3435136877894363,13.399139299619492,2026-02
