featureset,asos,asos_win,nf,aws,aws_win
기상없음(가격시차),23.27933910350488,3,6,23.27933910350488,3
+고온,24.160534209330105,4,6,24.16205538599841,4
+고온+열대야,24.329555416328798,4,6,25.401748701884497,3
+전부,24.981679600243485,4,6,25.10829237426501,4
