ym,month,actual,fixed_weight,s_포기찹,s_청상추,s_적상추,s_기타,s_적포기,s_꽃적상추,s_쫑상추,mix_effect
2018-01,1,3877.27507847761,3965.019372310555,0.2919911825285038,0.30675335184187125,0.3473766487468995,0.026051849067351855,0.003517528008128056,0.002292180268529799,0.01009716730802424,-87.744293832945
2018-02,2,2973.3820478690495,3024.567911241498,0.3092166814212708,0.27979507866886644,0.34988405899158986,0.030514365619089774,0.005414772041366545,0.0022685203814735828,0.009738038710715867,-51.185863372448694
2018-03,3,2258.7376582715174,2279.9644533588807,0.3195834614574012,0.2733560098537485,0.32554166249183747,0.025461851274733705,0.030909571472499682,0.0038782723462770312,0.012907995978343866,-21.22679508736337
2018-04,4,2477.518634163054,2516.0260830744915,0.33237746248913835,0.2793125200705314,0.29608862521374624,0.02279740855962553,0.03607697309522377,0.0051620810344698495,0.01145547565236272,-38.50744891143768
2018-05,5,2295.0589171344086,2314.643733859382,0.36331427834100716,0.272961402054886,0.2640990586997353,0.024270050828457516,0.04003714072737306,0.008196281868497836,0.012966845040295357,-19.58481672497328
2018-06,6,1768.702838717643,1782.5400481486597,0.39724704404026356,0.24661156226809786,0.2647107926161935,0.024588799187250227,0.03179451680273344,0.010916527248924933,0.011253873579237818,-13.837209431016618
2018-07,7,3285.003367717683,3322.0037660813064,0.4109553324908033,0.26129615468207906,0.22432660650894715,0.02569287364464014,0.028453903677885195,0.021508665448486262,0.010499963776573909,-37.00039836362339
2018-08,8,5360.724849095022,5479.0749111763225,0.35612079452370327,0.2867226077192174,0.2529842326130458,0.032523609691490436,0.010921281833494091,0.024761383758259793,0.014711069202309144,-118.35006208130017
2018-09,9,10347.010210039089,10550.61895077861,0.36462611771157977,0.2783606211397478,0.2663071470620865,0.03055202475732919,0.009362925793641558,0.015371747186720307,0.017259354398931316,-203.60874073952073
2018-10,10,3119.751497097838,3137.8930012058304,0.3899454972429659,0.2693982369334923,0.270844892409883,0.026158133749048094,0.007966094261461727,0.012171617898593773,0.010505037617667346,-18.141504107992205
2018-11,11,1665.0691240331273,1666.0572763598182,0.4076404597157933,0.28170931799168764,0.24995807599297964,0.022697562118991765,0.0075177367134246385,0.009976008034164255,0.007117553010048423,-0.9881523266908516
2018-12,12,2103.2789061063118,2101.155755865313,0.4013661881954428,0.2860063562519974,0.25139361813978134,0.015197334246623827,0.015035981632867632,0.009360533567069076,0.012325257721763553,2.1231502409987115
2019-01,1,2237.9464180936625,2251.9922274535534,0.3567894409023639,0.28548701332571025,0.29638806926208683,0.013929865150182795,0.017920072757811333,0.005755307348699638,0.01314192842878149,-14.045809359890882
2019-02,2,1654.7880296505955,1668.4099012732227,0.3651459932734952,0.27288379241927396,0.29949830183881015,0.01474331564090193,0.02542830916500832,0.003935141114991751,0.010733882571878909,-13.621871622627168
2019-03,3,2027.2298852408655,2037.7811562944173,0.3674541480162643,0.2746057221383914,0.28514490984379853,0.020285905182263978,0.026422910998510817,0.004739490672087833,0.014315332643106733,-10.551271053551773
2019-04,4,2241.363864937692,2259.091614947222,0.371332097136714,0.2779103893895662,0.2768942050007636,0.02037003258708911,0.018378674522170117,0.00464916920065328,0.015219960628942764,-17.7277500095297
2019-05,5,2825.2747167038888,2841.1826184838924,0.4003209313633802,0.26145952525894905,0.2596401972745812,0.022028483256371856,0.01757508815347072,0.008707827828440536,0.015786943289759364,-15.907901780003613
2019-06,6,2351.240603544037,2355.2826893029824,0.3925393876934163,0.2740237634393124,0.25019799536215687,0.022100247155005494,0.018990949047806932,0.014480056179080662,0.011614177609368927,-4.042085758945177
2019-07,7,3098.5911076977677,3104.5914369842712,0.3879331325512287,0.2866240011399972,0.24055308883719334,0.022244941536738755,0.017851958225364364,0.02173631727210608,0.006857247025264939,-6.000329286503529
2019-08,8,4782.445820588576,4849.025993030345,0.38421696751190243,0.27678819434707513,0.2384924520320816,0.030537161576783052,0.017628307779863406,0.017858550245842868,0.014435538455952695,-66.58017244176881
