county,market,month,rel,n,qty
남원시,대전노은,6,1.1154810080672894,146,223918.0
남원시,대전노은,7,0.9897691192216748,151,292596.0
남원시,대전노은,8,1.054232382655544,132,169318.0
남원시,대전노은,9,1.05176782231447,122,114981.0
남원시,대전노은,10,1.09529884193789,119,122927.5
남원시,대전노은,11,0.983622032217789,117,115400.5
남원시,대전노은,12,1.02123850612287,105,99956.0
남원시,부산반여,1,1.0042406957440433,156,486129.9
남원시,부산반여,2,1.0234185264456048,153,560402.0
남원시,부산반여,3,1.0495933564679591,179,846160.0
남원시,부산반여,4,1.0123710867210756,161,936038.0
남원시,부산반여,5,1.0023513018711987,170,1030670.4
남원시,부산반여,6,0.964316388396671,173,1149918.2
남원시,부산반여,7,0.983542386403812,186,1296918.1
남원시,부산반여,8,0.9475955217555158,165,911334.7
남원시,부산반여,9,0.9842949446230026,163,765280.9
남원시,부산반여,10,0.9628408007398961,174,796692.3
남원시,부산반여,11,0.9479885493295451,171,705778.9
남원시,부산반여,12,0.979708855382602,160,568473.8
남원시,부산엄궁,1,0.9830282090519453,75,192331.0
남원시,부산엄궁,2,1.0072265650425791,67,237872.0
남원시,부산엄궁,3,1.0511952108075981,76,406114.0
남원시,부산엄궁,4,1.0006642321990524,68,459300.0
남원시,부산엄궁,5,0.9649721078534857,69,515500.0
남원시,부산엄궁,6,1.0016423785181365,79,689276.0
남원시,부산엄궁,7,0.8966152489068469,114,988353.5
남원시,부산엄궁,8,0.841714251125712,100,543843.6
남원시,부산엄궁,9,0.8895461617410269,106,459762.0
남원시,부산엄궁,10,0.9114494418416258,95,460139.8
남원시,부산엄궁,11,0.9680173749893626,84,368602.0
남원시,부산엄궁,12,0.9630716396018284,77,247272.0
남원시,서울가락,6,1.0514639171355848,37,180298.0
남원시,서울가락,7,1.0784845679181043,55,249382.0
남원시,서울가락,8,0.9499728326288147,50,107637.0
남원시,서울가락,9,0.8895343526286068,36,64296.0
남원시,서울가락,10,0.8902662260559198,12,10578.0
남원시,순천,1,0.8237359749441876,155,238156.3
남원시,순천,2,0.847564157443157,193,239778.0
남원시,순천,3,0.8971421189340141,233,356754.0
남원시,순천,4,0.8084428494726019,217,341889.6
남원시,순천,5,0.7898348089660643,203,296166.0
남원시,순천,6,0.7804314662787927,203,279738.5
남원시,순천,7,0.7989001405148728,206,377763.1
남원시,순천,8,0.7329284076080155,188,312856.2
남원시,순천,9,0.7984121357273598,187,232671.2
남원시,순천,10,0.7904334142134352,197,250117.5
남원시,순천,11,0.7839662610357765,165,241569.6
남원시,순천,12,0.7706793711795918,149,203835.0
남원시,전주,9,0.595611637162977,11,354.0
남원시,진주,1,0.9428675013881664,16,4214.0
남원시,진주,2,1.0631793768892475,13,3644.0
남원시,진주,3,0.9046831650377484,16,4482.0
남원시,진주,4,0.899512580978121,19,5478.0
남원시,진주,5,0.9315999858076598,49,21816.0
남원시,진주,6,0.8560799248534173,109,60209.0
남원시,진주,7,0.7715510412984743,144,94603.0
남원시,진주,8,0.7675738058974677,141,66807.2
남원시,진주,9,0.7930144126088767,146,55210.5
남원시,진주,10,0.8355590004103817,133,53239.2
남원시,진주,11,0.8505357722338887,98,30203.0
남원시,진주,12,0.8266589639035992,36,9835.0
남원시,창원내서,1,1.0733932520319482,47,42164.5
남원시,창원내서,2,1.0822232485402452,47,47029.0
남원시,창원내서,3,1.1140106375712557,67,83331.0
남원시,창원내서,4,1.1312021477993182,67,103420.0
남원시,창원내서,5,1.0652958126614158,85,128822.0
남원시,창원내서,6,0.9615177589403624,86,148785.0
남원시,창원내서,7,0.9395010358001085,101,182356.0
남원시,창원내서,8,0.9276817535272412,103,121834.2
남원시,창원내서,9,1.0024067198567963,103,89089.0
남원시,창원내서,10,1.0289288927252138,104,92252.7
남원시,창원내서,11,0.9640217350749013,88,71752.0
남원시,창원내서,12,0.987014283511074,66,54524.0
남원시,창원팔용,1,1.0250623898810145,48,30028.0
남원시,창원팔용,2,1.0074744928058335,46,44610.0
남원시,창원팔용,3,1.0311951083499242,60,83960.0
남원시,창원팔용,4,0.9690779777759092,57,90374.0
남원시,창원팔용,5,0.9212693039060847,67,99112.0
남원시,창원팔용,6,0.9462951497246428,64,109335.0
남원시,창원팔용,7,0.9181683527467899,77,124094.0
남원시,창원팔용,8,0.866176456646373,74,77561.0
남원시,창원팔용,9,0.9005182486952638,76,68294.0
남원시,창원팔용,10,0.9185698319770842,92,71884.0
남원시,창원팔용,11,0.955468932364126,72,59443.5
남원시,창원팔용,12,0.9360511259925967,66,37099.0
무주군,광주각화,7,0.7145126189273322,29,1659.5
무주군,광주각화,8,0.791138522099479,37,1093.0
무주군,광주각화,9,0.8915284231207913,23,1098.0
무주군,광주각화,10,0.9611527251598448,17,482.0
