model,mape,rmsle,worst
rf,23.172957291696203,0.30020471271789706,25.09123610004906
gbm,23.352508759630563,0.304567722409816,25.535406374921855
ridge,23.519891507663186,0.29784983865125225,32.13213896980334
seasonal_mean,31.170468838334553,0.4273336395139497,43.881705816663526
ets,38.04593480540454,0.4838191645544832,60.619314085223394
structural,38.117769018161844,0.4850755573198244,60.62576012503828
sarima,41.488548424792306,0.4778196065003759,74.84599562622628
theta,44.73311153068991,0.543418427230631,74.62843675622408
