date,market_nm,market_cd,crop,county,qty
2026-08-06,광주각화,240001,표고버섯,남원시,0.0
2026-08-06,광주각화,240001,표고버섯,남원시,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,홍고추,장수군,0.0
2026-08-06,진주,380401,호박,장수군,0.0
2026-08-06,진주,380401,호박,장수군,0.0
2026-08-06,진주,380401,호박,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,홍고추,장수군,0.0
2026-08-06,진주,380401,홍고추,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,홍고추,장수군,0.0
2026-08-06,진주,380401,풋고추,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,호박,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,광주서부,240004,홍고추,순창군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,광주서부,240004,홍고추,순창군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,광주서부,240004,호박,순창군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,남원시,0.0
2026-08-06,진주,380401,오이,장수군,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,가지,남원시,0.0
2026-08-06,광주각화,240001,가지,남원시,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,호박,남원시,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,진주,380401,가지,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,진주,380401,가지,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,풋고추,장수군,0.0
2026-08-06,광주각화,240001,풋고추,장수군,0.0
2026-08-06,광주각화,240001,홍고추,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,오이,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,호박,장수군,0.0
2026-08-06,광주각화,240001,가지,장수군,0.0
2026-08-06,광주각화,240001,가지,장수군,0.0
2026-08-06,진주,380401,호박,장수군,0.0
2026-08-06,진주,380401,호박,장수군,0.0
2026-08-06,진주,380401,호박,장수군,0.0
2026-08-06,광주각화,240001,홍고추,남원시,0.0
2026-08-06,광주각화,240001,풋고추,장수군,0.0
2026-08-06,광주각화,240001,풋고추,장수군,0.0
2026-08-06,광주각화,240001,홍고추,장수군,0.0
2026-08-06,광주각화,240001,홍고추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
2026-08-06,광주각화,240001,상추,장수군,0.0
