crop_id,county_id,n_obs,skipped,target_source,params_source,baseline_mape,best_alpha,best_blend_w,use_gpj_feature,feature_variant,model_mape,n_folds,consensus_alpha,consensus_blend_w,consensus_mape,model_mape_own
watermelon,gochang,102,False,origin,own,32.37619843261535,100.0,0.6,False,,32.52171968501594,6.0,,,,
watermelon,gunsan,3,True,origin,,,,,,,,,,,,
watermelon,iksan,89,False,origin,own,27.193750589970914,50.0,0.4,True,,24.675465716222277,6.0,,,,
watermelon,imsil,5,True,origin,,,,,,,,,,,,
watermelon,jangsu,29,True,origin,,,,,,,,,,,,
watermelon,jeongeup,64,False,origin,own,46.3801399833688,2.0,0.6,False,,69.78158771553444,6.0,,,,
watermelon,jeonju,60,False,origin,own,28.160971600654765,100.0,0.4,False,,24.18772537837449,6.0,,,,
watermelon,jinan,33,True,origin,,,,,,,,,,,,
watermelon,muju,24,True,origin,,,,,,,,,,,,
watermelon,namwon,23,True,origin,,,,,,,,,,,,
watermelon,sunchang,10,True,origin,,,,,,,,,,,,
watermelon,wanju,47,False,origin,own,30.52832721373043,100.0,0.6,False,,31.68246360389257,6.0,,,,
