target,n_months,cv_base,cv_model,cv_gain,wins,ho_base,ho_model
A 현행: 전일자·산지·원/kg·주력,103,25.44770173703901,23.28005265821142,2.1676490788275906,3/6,12.66874355259629,11.170500896591658
B 3일표본·산지·원/kg·주력,103,27.34723815539787,25.379875752967394,1.9673624024304779,2/6,10.465914047998929,15.607743318972748
C 전일자·시장위치·상자단가,103,27.494366303021593,25.448196060604612,2.0461702424169808,3/6,16.015118224335055,12.46891239262905
D 전일자·산지·상자단가,103,25.52499663262866,23.565146639767935,1.9598499928607254,4/6,15.298086897571093,15.773879491850664
E 전일자·산지·원/kg·전품종,103,25.315366739526116,23.215794201040463,2.0995725384856527,4/6,12.610461312619076,11.141114394299995
F rev2원형: 3일·시장위치·상자단가,103,32.3053538638673,28.53974963533643,3.765604228530872,2/6,14.750741095467438,16.465515287801765
