year,ym,month,actual,pred,method
2022,2022-08,8,9409.868539984273,8211.438456270764,q65
2022,2022-09,9,5194.005474892095,9192.1269901604,q65
2022,2022-10,10,3191.0285531273066,5452.584471036209,q65
2022,2022-11,11,2019.4117429570485,3812.1052170695984,q65
2022,2022-12,12,5281.381163475159,3579.8112501186747,q65
2023,2023-01,1,5637.419817242143,5067.250150621817,q65
2023,2023-02,2,3864.1014337678266,3533.3855309135283,q65
2023,2023-03,3,3247.3347550611743,2342.847852307006,q65
2023,2023-04,4,2956.0400716665886,2391.7690055956127,q65
2023,2023-05,5,2593.58892722053,2738.77429862982,q65
2023,2023-06,6,3435.2640133088516,3320.5553177950073,q65
2023,2023-07,7,9958.97262643662,5309.577133115462,q65
2023,2023-08,8,6789.750961881995,10866.277365579115,q65
2023,2023-09,9,7134.070422942123,5980.272459348822,q65
2023,2023-10,10,5396.45378473103,4574.397693057692,q65
2023,2023-11,11,3737.8953464860106,3766.3669787702447,q65
2023,2023-12,12,3183.764694039986,3648.319168049935,q65
2024,2024-01,1,4566.930488215524,4193.69608358904,q65
2024,2024-02,2,2857.18395087652,3314.7313398258802,q65
2024,2024-03,3,3605.557850886509,2641.6752317840737,q65
2024,2024-04,4,2354.3771130985897,2730.257802148472,q65
2024,2024-05,5,2432.454660984288,2701.2569915083027,q65
2024,2024-06,6,2735.6046494374705,3293.729639764595,q65
2024,2024-07,7,6768.9798004398635,5985.350312300814,q65
2024,2024-08,8,8280.265680714458,7856.194654172263,q65
2024,2024-09,9,13833.212743914744,8525.897516424286,q65
2024,2024-10,10,10924.003764858491,8472.296160317152,q65
2024,2024-11,11,3783.3289458904264,4507.022104894166,q65
2024,2024-12,12,2953.1652291422224,2875.9246830419106,q65
2025,2025-01,1,2729.5997918576377,3720.2105850596845,q65
2025,2025-02,2,2477.8812422779765,2961.537885653973,q65
2025,2025-03,3,2339.8628511090333,2849.5087499426445,q65
2025,2025-04,4,2448.7021792584655,2614.8039468119455,q65
2025,2025-05,5,3149.438992754348,2759.363667216032,q65
2025,2025-06,6,2655.27192378158,3360.707206805204,q65
2025,2025-07,7,4755.754584835337,5559.662089893211,q65
2025,2025-08,8,6177.820058675944,7740.683019908316,q65
2025,2025-09,9,9189.889464429847,11739.131445979663,q65
2025,2025-10,10,7897.762139341014,10095.280749275773,q65
2025,2025-11,11,3488.7216959787406,4664.98924320248,q65
2025,2025-12,12,3536.288227656001,3337.3778573628915,q65
2020,2020-01,1,5457.007268229654,3192.950701546587,q70
2020,2020-02,2,1887.3719771322812,3274.293115144055,q70
2020,2020-03,3,2128.2206493695803,2251.606171011199,q70
2020,2020-04,4,1872.786298646229,2448.608611844721,q70
2020,2020-05,5,2064.6228446720447,2734.704563432902,q70
2020,2020-06,6,3279.012342580697,3097.520368044945,q70
2020,2020-07,7,4978.318310098686,4272.204651090825,q70
2020,2020-08,8,8838.360149034703,5934.933411132163,q70
2020,2020-09,9,5619.295180086788,9294.05823099072,q70
2020,2020-10,10,1850.8362528978846,6034.097178884281,q70
2020,2020-11,11,1891.802704312295,3443.2806001016043,q70
2020,2020-12,12,3405.9544521657504,3161.8491726125408,q70
2021,2021-01,1,4971.971829364932,3362.839059370783,q70
2021,2021-02,2,2884.4024417256596,2962.1199494205857,q70
2021,2021-03,3,2487.209310970788,2352.723486339287,q70
2021,2021-04,4,2770.3748635386487,2402.150945418724,q70
2021,2021-05,5,2839.3721514512445,2857.198350089777,q70
2021,2021-06,6,3669.2263773169398,3403.1915554853445,q70
2021,2021-07,7,4977.055254217393,4553.979213190408,q70
2021,2021-08,8,6991.9305302807,6093.346750069335,q70
2021,2021-09,9,10460.64757946111,7546.6896872139405,q70
2021,2021-10,10,7891.324604968693,8391.484559286391,q70
2021,2021-11,11,3310.0003088010235,5465.8020305849805,q70
2021,2021-12,12,3159.872332558557,3353.4666858076703,q70
2022,2022-01,1,4421.075539424003,3395.8554824086655,q70
2022,2022-02,2,2395.2541250887098,2962.858313274277,q70
2022,2022-03,3,2578.482910297402,2322.6185071007258,q70
2022,2022-04,4,3002.8055780281884,2431.7665528792418,q70
2022,2022-05,5,2677.942836412439,2888.8979066492784,q70
2022,2022-06,6,3948.8349480423194,3399.611345759662,q70
2022,2022-07,7,8792.50658310678,4807.634095006561,q70
2022,2022-08,8,9409.868539984273,8129.6768367871455,q70
2022,2022-09,9,5194.005474892095,8962.45031720514,q70
2022,2022-10,10,3191.0285531273066,5403.1093496788035,q70
2022,2022-11,11,2019.4117429570485,3878.1370868908175,q70
2022,2022-12,12,5281.381163475159,3673.9999752620274,q70
2023,2023-01,1,5637.419817242143,4929.856065493211,q70
2023,2023-02,2,3864.1014337678266,3386.174393827243,q70
2023,2023-03,3,3247.3347550611743,2374.4751398688086,q70
2023,2023-04,4,2956.0400716665886,2407.5754892733466,q70
2023,2023-05,5,2593.58892722053,2753.086527264066,q70
2023,2023-06,6,3435.2640133088516,3413.2894435781136,q70
2023,2023-07,7,9958.97262643662,5377.835208832142,q70
2023,2023-08,8,6789.750961881995,9660.365005376709,q70
2023,2023-09,9,7134.070422942123,6445.9425642025335,q70
2023,2023-10,10,5396.45378473103,5158.620841081611,q70
2023,2023-11,11,3737.8953464860106,4332.690145611627,q70
2023,2023-12,12,3183.764694039986,4086.429409275459,q70
2024,2024-01,1,4566.930488215524,4252.0347482300085,q70
2024,2024-02,2,2857.18395087652,3372.6917504722396,q70
2024,2024-03,3,3605.557850886509,2692.520767482052,q70
2024,2024-04,4,2354.3771130985897,2778.8714534207456,q70
2024,2024-05,5,2432.454660984288,2740.9615432769215,q70
2024,2024-06,6,2735.6046494374705,3327.6651130837813,q70
2024,2024-07,7,6768.9798004398635,6024.247164880217,q70
2024,2024-08,8,8280.265680714458,7856.32288708553,q70
2024,2024-09,9,13833.212743914744,8530.54628855548,q70
2024,2024-10,10,10924.003764858491,8487.39757120538,q70
2024,2024-11,11,3783.3289458904264,4564.084984938036,q70
2024,2024-12,12,2953.1652291422224,2924.6827303977334,q70
2025,2025-01,1,2729.5997918576377,3768.043074217161,q70
2025,2025-02,2,2477.8812422779765,2955.4817809454726,q70
2025,2025-03,3,2339.8628511090333,2835.9899747539494,q70
2025,2025-04,4,2448.7021792584655,2607.732205963989,q70
2025,2025-05,5,3149.438992754348,2757.4216209288525,q70
2025,2025-06,6,2655.27192378158,3365.16365881807,q70
2025,2025-07,7,4755.754584835337,5582.762036874055,q70
2025,2025-08,8,6177.820058675944,7749.101021187335,q70
2025,2025-09,9,9189.889464429847,11698.127304319205,q70
2025,2025-10,10,7897.762139341014,10069.296571099398,q70
2025,2025-11,11,3488.7216959787406,4740.030190697419,q70
2025,2025-12,12,3536.288227656001,3415.119995533022,q70
