[재개] 체크포인트 0건, 완료월 0개 스킵
    ! 실패(5회): 240001 2024-08-26 p1 429
    ! 실패(5회): 210009 2024-08-26 p1 429
    ! 실패(5회): 210001 2024-08-26 p1 429
    ! 실패(5회): 220001 2024-08-26 p1 429
    ! 실패(5회): 250001 2024-08-26 p1 429
    ! 실패(5회): 380303 2024-08-26 p1 429
    ! 실패(5회): 350101 2024-08-26 p1 429
    ! 실패(5회): 350301 2024-08-26 p1 429
    ! 실패(5회): 250003 2024-08-26 p1 429
    ! 실패(5회): 360301 2024-08-26 p1 429
    ! 실패(5회): 230001 2024-08-26 p1 429
    ! 실패(5회): 110008 2024-08-26 p1 429
    ! 실패(5회): 230003 2024-08-26 p1 429
    ! 실패(5회): 380101 2024-08-26 p1 429
    ! 실패(5회): 380401 2024-08-26 p1 429
    ! 실패(5회): 311201 2024-08-26 p1 429
    ! 실패(5회): 330101 2024-08-26 p1 429
    ! 실패(5회): 340101 2024-08-26 p1 429
    ! 실패(5회): 350402 2024-08-26 p1 429
    ! 실패(5회): 310401 2024-08-26 p1 429
    ! 실패(5회): 310101 2024-08-26 p1 429
[80/104] 2024-08 -> 없음
    ! 실패(5회): 240004 2024-09-05 p1 429
    ! 실패(5회): 110001 2024-09-05 p1 429
    ! 실패(5회): 240001 2024-09-05 p1 429
    ! 실패(5회): 210009 2024-09-05 p1 429
    ! 실패(5회): 210001 2024-09-05 p1 429
    ! 실패(5회): 220001 2024-09-05 p1 429
    ! 실패(5회): 250001 2024-09-05 p1 429
    ! 실패(5회): 380303 2024-09-05 p1 429
    ! 실패(5회): 350101 2024-09-05 p1 429
    ! 실패(5회): 350301 2024-09-05 p1 429
    ! 실패(5회): 250003 2024-09-05 p1 429
    ! 실패(5회): 360301 2024-09-05 p1 429
    ! 실패(5회): 230001 2024-09-05 p1 429
    ! 실패(5회): 110008 2024-09-05 p1 429
    ! 실패(5회): 230003 2024-09-05 p1 429
    ! 실패(5회): 380101 2024-09-05 p1 429
    ! 실패(5회): 380401 2024-09-05 p1 429
    ! 실패(5회): 311201 2024-09-05 p1 429
    ! 실패(5회): 330101 2024-09-05 p1 429
    ! 실패(5회): 340101 2024-09-05 p1 429
    ! 실패(5회): 350402 2024-09-05 p1 429
    ! 실패(5회): 310401 2024-09-05 p1 429
    ! 실패(5회): 310101 2024-09-05 p1 429
    ! 실패(5회): 240004 2024-09-16 p1 429
    ! 실패(5회): 110001 2024-09-16 p1 429
    ! 실패(5회): 240001 2024-09-16 p1 429
    ! 실패(5회): 210009 2024-09-16 p1 429
    ! 실패(5회): 210001 2024-09-16 p1 429
    ! 실패(5회): 220001 2024-09-16 p1 429
    ! 실패(5회): 250001 2024-09-16 p1 429
    ! 실패(5회): 380303 2024-09-16 p1 429
    ! 실패(5회): 350101 2024-09-16 p1 429
    ! 실패(5회): 350301 2024-09-16 p1 429
    ! 실패(5회): 250003 2024-09-16 p1 429
    ! 실패(5회): 360301 2024-09-16 p1 429
    ! 실패(5회): 230001 2024-09-16 p1 429
    ! 실패(5회): 110008 2024-09-16 p1 429
    ! 실패(5회): 230003 2024-09-16 p1 429
    ! 실패(5회): 380101 2024-09-16 p1 429
    ! 실패(5회): 380401 2024-09-16 p1 429
    ! 실패(5회): 311201 2024-09-16 p1 429
    ! 실패(5회): 330101 2024-09-16 p1 429
    ! 실패(5회): 340101 2024-09-16 p1 429
    ! 실패(5회): 350402 2024-09-16 p1 429
    ! 실패(5회): 310401 2024-09-16 p1 429
    ! 실패(5회): 310101 2024-09-16 p1 429
    ! 실패(5회): 240004 2024-09-25 p1 429
    ! 실패(5회): 110001 2024-09-25 p1 429
    ! 실패(5회): 240001 2024-09-25 p1 429
    ! 실패(5회): 210009 2024-09-25 p1 429
    ! 실패(5회): 210001 2024-09-25 p1 429
    ! 실패(5회): 220001 2024-09-25 p1 429
    ! 실패(5회): 250001 2024-09-25 p1 429
    ! 실패(5회): 380303 2024-09-25 p1 429
    ! 실패(5회): 350101 2024-09-25 p1 429
    ! 실패(5회): 350301 2024-09-25 p1 429
    ! 실패(5회): 250003 2024-09-25 p1 429
    ! 실패(5회): 360301 2024-09-25 p1 429
    ! 실패(5회): 230001 2024-09-25 p1 429
    ! 실패(5회): 110008 2024-09-25 p1 429
    ! 실패(5회): 230003 2024-09-25 p1 429
    ! 실패(5회): 380101 2024-09-25 p1 429
    ! 실패(5회): 380401 2024-09-25 p1 429
    ! 실패(5회): 311201 2024-09-25 p1 429
    ! 실패(5회): 330101 2024-09-25 p1 429
    ! 실패(5회): 340101 2024-09-25 p1 429
    ! 실패(5회): 350402 2024-09-25 p1 429
    ! 실패(5회): 310401 2024-09-25 p1 429
    ! 실패(5회): 310101 2024-09-25 p1 429
[81/104] 2024-09 -> 없음
    ! 실패(5회): 240004 2024-10-05 p1 429
    ! 실패(5회): 110001 2024-10-05 p1 429
    ! 실패(5회): 240001 2024-10-05 p1 429
    ! 실패(5회): 210009 2024-10-05 p1 429
    ! 실패(5회): 210001 2024-10-05 p1 429
