year,n,sigma,cov50,wid50,cov80,wid80,cov90,wid90,ecov50,ecov80,ecov90
2020,12,0.35,58.333333333333336,1.603437881371005,75.0,2.45252964487744,75.0,3.162712356184717,,,
2021,12,0.39062635430385406,25.0,1.693766846646386,75.0,2.7216912532184243,83.33333333333334,3.6149664702282966,,,
2022,12,0.3391631863158284,41.66666666666667,1.58016794918147,75.0,2.3853433569696105,91.66666666666666,3.0519448719765165,33.33333333333333,75.0,83.33333333333334
2023,12,0.33146558819219,41.66666666666667,1.5638442902001455,83.33333333333334,2.3387406381148863,91.66666666666666,2.9756291392996577,75.0,91.66666666666666,91.66666666666666
2024,12,0.30933952602513576,66.66666666666666,1.5178563154017075,83.33333333333334,2.209793501895298,83.33333333333334,2.7667273862127275,41.66666666666667,91.66666666666666,100.0
2025,12,0.2981342065236111,83.33333333333334,1.4950849748626316,100.0,2.147227764261579,100.0,2.66659375995572,25.0,83.33333333333334,91.66666666666666
2026,7,0.2918773280444132,85.71428571428571,1.4825187739683903,85.71428571428571,2.1130659870822535,85.71428571428571,2.6122659736138876,85.71428571428571,85.71428571428571,100.0
