window,beta,lo,hi,ncell,nrow,ncty,verdict
w1,-0.027456368136440118,-0.07509541192637036,0.020667385950154472,15242,43027,14,판정불가
w2,-0.029220680605772462,-0.08955722250734005,0.026675063305069767,15262,43062,14,판정불가
w4,-0.03265572508181187,-0.10121664061152218,0.029073494299245134,15252,43026,14,판정불가
w6,-0.03540875951862039,-0.10567697406037688,0.028412691033429027,15237,42980,14,판정불가
