county,wk,q_all,q_graded,q_top,top_share,unrec,dtr,trop,nday,woy,dtr2,trop2,dtr4,trop4,y,d_dtr,d_dtr2,d_dtr4,d_trop,d_trop2,d_trop4
고창군,2018-01-22,632.0,632.0,632.0,1.0,0.0,8.157142857142857,0.0,7,4,8.985714285714286,0.0,8.746428571428572,0.0,0.11424646915308267,-1.1476190476190489,-0.5285714285714267,-0.6781746031746021,0.0,0.0,0.0
고창군,2018-01-29,900.0,900.0,900.0,1.0,0.0,8.571428571428571,0.0,7,5,8.364285714285714,0.0,8.760714285714286,0.0,0.1428571428571429,-0.9258503401360532,-0.9108843537414959,-0.514115646258503,0.0,0.0,0.0
고창군,2018-02-05,832.0,832.0,832.0,1.0,0.0,9.728571428571428,0.0,7,6,9.149999999999999,0.0,9.067857142857143,0.0,0.11984411446777044,-0.4492063492063494,-0.7640211640211625,-0.5458994708994709,0.0,0.0,0.0
고창군,2018-02-12,452.0,452.0,452.0,1.0,0.0,9.228571428571428,0.0,7,7,9.478571428571428,0.0,8.92142857142857,0.0,0.1141141141141141,-0.8809523809523832,-0.6650793650793645,-0.8986772486772487,0.0,0.0,0.0
고창군,2018-02-19,1028.0,1028.0,1028.0,1.0,0.0,11.37142857142857,0.0,7,8,10.299999999999999,0.0,9.724999999999998,0.0,0.21142450142450142,1.0619047619047617,0.09047619047619015,-0.33677248677248883,0.0,0.0,0.0
고창군,2018-02-26,732.0,732.0,732.0,1.0,0.0,13.799999999999999,0.0,7,9,12.585714285714285,0.0,11.032142857142857,0.0,0.2160765069828896,1.3047619047619037,1.1833333333333336,0.25912698412698454,0.0,0.0,0.0
고창군,2018-03-05,1756.0,1756.0,1756.0,1.0,0.0,10.571428571428571,0.0,7,10,12.185714285714285,0.0,11.242857142857142,0.0,0.2201561824074143,-1.344444444444445,-0.01984126984127066,0.03531746031745975,0.0,0.0,0.0
고창군,2018-03-12,1740.0,1740.0,1740.0,1.0,0.0,11.914285714285715,0.0,7,11,11.242857142857144,0.0,11.914285714285715,0.0,0.2108262108262109,-0.19682539682539613,-0.7706349206349188,0.2063492063492074,0.0,0.0,0.0
고창군,2018-03-19,1472.0,1472.0,1472.0,1.0,0.0,9.9,0.0,7,12,10.907142857142858,0.0,11.546428571428573,0.0,0.23905772171253814,-2.4619047619047603,-1.3293650793650773,-0.674603174603174,0.0,0.0,0.0
고창군,2018-03-26,1004.0,1004.0,1004.0,1.0,0.0,14.700000000000001,0.0,7,13,12.3,0.0,11.771428571428572,0.0,0.10360346889952154,1.4357142857142868,-0.4973214285714267,-0.5258928571428569,0.0,0.0,0.0
고창군,2018-04-02,1792.0,1792.0,1792.0,1.0,0.0,9.0,0.0,7,14,11.850000000000001,0.0,11.37857142857143,0.0,0.125,-4.060714285714285,-1.3124999999999964,-1.2986607142857132,0.0,0.0,0.0
고창군,2018-04-09,1376.0,1376.0,1376.0,1.0,0.0,12.27142857142857,0.0,7,15,10.635714285714286,0.0,11.467857142857143,0.0,0.0,-0.22448979591836604,-1.9775510204081606,-1.1954081632653057,0.0,0.0,0.0
고창군,2018-04-16,898.0,898.0,898.0,1.0,0.0,16.37142857142857,0.0,7,16,14.32142857142857,0.0,13.085714285714285,0.0,0.0,3.2571428571428562,1.7867346938775501,0.3642857142857139,0.0,0.0,0.0
고창군,2018-04-23,1076.0,1076.0,1076.0,1.0,0.0,11.571428571428571,0.0,7,17,13.971428571428568,0.0,12.303571428571427,0.0,0.0,1.200000000000001,1.9557142857142829,0.08142857142857096,0.0,0.0,0.0
고창군,2018-05-14,1684.0,1124.0,1124.0,1.0,0.332541567695962,10.485714285714284,0.0,7,20,11.028571428571428,0.0,12.674999999999999,0.0,0.0,-0.15714285714285836,-0.6828571428571415,0.798571428571428,0.0,0.0,0.0
고창군,2018-05-21,1676.0,1676.0,1676.0,1.0,0.0,14.742857142857144,0.0,7,21,12.614285714285714,0.0,13.292857142857143,0.0,0.0,1.7047619047619058,0.7285714285714278,0.6380952380952376,0.0,0.0,0.0
고창군,2018-05-28,1156.0,1156.0,1156.0,1.0,0.0,12.357142857142858,0.0,7,22,13.55,0.0,12.289285714285715,0.0,0.19999999999999996,1.1571428571428584,1.530000000000003,0.13428571428571523,0.0,0.0,0.0
고창군,2018-06-04,1444.0,1444.0,1444.0,1.0,0.0,9.785714285714286,0.0,7,23,11.071428571428573,0.0,11.842857142857143,0.0,0.19999999999999996,-0.3257142857142856,0.014285714285717788,0.10571428571428676,0.0,0.0,0.0
고창군,2018-06-11,1248.0,1248.0,1248.0,1.0,0.0,9.214285714285714,0.0,7,24,9.5,0.0,11.525,0.0,0.0,-0.4023809523809536,-0.3190476190476179,0.4738095238095248,0.0,0.0,0.0
고창군,2018-06-18,1184.0,1184.0,1120.0,0.9459459459459459,0.0,9.685714285714285,0.0,7,25,9.45,0.0,10.260714285714286,0.0,0.02888900748176404,0.2523809523809515,-0.29047619047618944,-0.20476190476190403,0.0,0.0,0.0
고창군,2018-06-25,1728.0,1728.0,1728.0,1.0,0.0,7.128571428571427,0.0,7,26,8.407142857142857,0.0,8.953571428571427,0.0,0.11848607367475295,-0.8285714285714292,-0.28809523809523796,-0.5488095238095241,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666
고창군,2018-07-02,828.0,828.0,828.0,1.0,0.0,7.200000000000001,0.0,7,27,7.164285714285715,0.0,8.307142857142857,0.0,0.2386596454393065,-0.5367346938775501,-0.9857142857142858,-0.7163265306122444,-0.8571428571428571,-1.4285714285714286,-1.4285714285714286
고창군,2018-07-09,712.0,712.0,712.0,1.0,0.0,8.028571428571428,1.0,7,28,7.614285714285716,1.0,8.010714285714286,1.0,0.2834437120035702,0.6183673469387765,0.04081632653061451,-0.3214285714285712,-0.5714285714285714,-1.4285714285714284,-2.0
고창군,2018-07-16,800.0,800.0,800.0,1.0,0.0,10.357142857142858,1.0,7,29,9.192857142857143,2.0,8.178571428571429,2.0,0.1578580315685265,3.3464285714285715,1.6544642857142868,-0.1919642857142847,0.375,0.375,-0.875
고창군,2018-07-23,780.0,780.0,780.0,1.0,0.0,10.085714285714285,3.0,7,30,10.221428571428572,4.0,8.917857142857144,5.0,0.12313575200902094,2.5392857142857137,2.942857142857143,0.9633928571428587,-0.125,0.25,-0.5
고창군,2018-07-30,1152.0,1152.0,1152.0,1.0,0.0,10.314285714285713,3.0,7,31,10.2,6.0,9.696428571428571,8.0,0.21044479530859417,1.6587301587301564,2.049206349206349,1.893650793650794,0.6666666666666665,0.5555555555555554,1.1111111111111107
고창군,2018-08-06,524.0,524.0,524.0,1.0,0.0,9.128571428571428,3.0,7,32,9.721428571428572,6.0,9.971428571428572,10.0,0.21593174086618994,1.2298412698412697,1.4442857142857157,2.211031746031745,0.7777777777777777,1.4444444444444446,1.7777777777777786
고창군,2018-08-13,556.0,556.0,536.0,0.9640287769784173,0.0,10.828571428571427,2.0,7,33,9.978571428571428,5.0,10.089285714285714,11.0,0.262824658637417,2.5678571428571413,1.9964285714285719,2.039732142857142,0.5,1.5,2.0
고창군,2018-08-20,568.0,568.0,568.0,1.0,0.0,7.6000000000000005,0.0,7,34,9.214285714285715,2.0,9.467857142857142,8.0,0.2536539077892461,-1.3285714285714283,0.6540816326530638,1.2127551020408145,-0.42857142857142855,-0.1428571428571428,0.5714285714285712
고창군,2018-08-27,776.0,776.0,776.0,1.0,0.0,6.242857142857143,0.0,7,35,6.921428571428573,0.0,8.45,5.0,0.22542625465702382,-1.59904761904762,-1.4395238095238074,0.13880952380952394,-0.6,-1.2,0.0
고창군,2018-09-03,528.0,528.0,528.0,1.0,0.0,8.914285714285715,0.0,7,36,7.578571428571429,0.0,8.396428571428572,2.0,0.4,0.16000000000000014,-1.0228571428571414,0.007142857142858006,-0.4,-0.8,-2.4000000000000004
