year,ym,month,actual,prob_model,prob_base,prob_freq,price,thr
2020,2020-01,1,1,0.07156451590661694,0.22674415521618196,0.0,5429.134747246954,4020.102409422674
2020,2020-02,2,0,0.19086039262421983,0.22674415521618196,0.0,1875.8211757685644,3042.0124104600873
2020,2020-03,3,0,0.07599168897129571,0.22674415521618196,0.0,2118.7369629257355,2806.8859171556223
2020,2020-04,4,0,0.07276619633878167,0.22674415521618196,0.0,1862.5352573469902,3104.730559499118
2020,2020-05,5,0,0.17373161485282718,0.22674415521618263,0.0,2051.136898837326,3381.8974323434772
2020,2020-06,6,1,0.5300779424093593,0.22674415521618196,0.0,3268.6995564136746,2705.508631104268
2020,2020-07,7,1,0.38881232543433886,0.22674415521618196,0.0,4956.744418825206,4206.026930861211
2020,2020-08,8,1,0.17950869350635879,0.22674415521618196,0.0,8769.912334960325,6744.014534131048
2020,2020-09,9,0,0.030651829458660518,0.22674415521618196,0.0,5595.552317583876,11002.709553699837
2020,2020-10,10,0,0.061772983097562295,0.22674415521618352,0.5,1849.4476930669389,6565.696125791583
2020,2020-11,11,0,0.31476278456380924,0.22674415521618196,0.5,1891.2961732259525,3160.823904716954
2020,2020-12,12,0,0.37003535844736435,0.22674415521618263,0.0,3392.411398243555,3707.9022801965657
2021,2021-01,1,0,0.22057001022379885,0.25047859858433197,0.3333333333333333,4954.457486240421,5032.693330088796
2021,2021-02,2,1,0.4243713836106404,0.25047859858433197,0.3333333333333333,2872.576074001912,2840.864116473103
2021,2021-03,3,0,0.14532122884152587,0.25047859858433197,0.0,2478.990558100337,2789.3766287049007
2021,2021-04,4,0,0.1303719202377025,0.25047859858433197,0.0,2763.607534150208,2876.918984516441
2021,2021-05,5,0,0.2340901255476744,0.25047859858433275,0.0,2829.6170557314217,3143.4242777251598
2021,2021-06,6,1,0.36213515197208035,0.25047859858433197,0.3333333333333333,3660.291718602072,3220.108895182105
2021,2021-07,7,1,0.22458452715384325,0.25047859858433197,0.3333333333333333,4959.4139282548795,4951.940535398397
2021,2021-08,8,0,0.07757805646996307,0.25047859858433197,0.3333333333333333,6940.920348891039,8296.305034570174
2021,2021-09,9,1,0.053905578177135594,0.25047859858433197,0.3333333333333333,10429.424886633999,9759.879040086238
2021,2021-10,10,1,0.28119336952698004,0.25047859858433197,0.3333333333333333,7873.187778150406,5178.558084190062
2021,2021-11,11,1,0.28154275345148605,0.25047859858433197,0.3333333333333333,3326.376656871949,2926.777611542549
2021,2021-12,12,0,0.029210076538289442,0.25047859858433197,0.0,3156.5055006691136,3941.979792703251
2022,2022-01,1,0,0.02725120090244082,0.21964736829022935,0.25,4413.221046371992,5384.718680594734
2022,2022-02,2,0,0.3467723858241859,0.21964736829023024,0.0,2388.844128945247,3064.2353114054486
2022,2022-03,3,0,0.16915280370950603,0.21964736829023024,0.0,2571.9956423602225,2897.704402911285
2022,2022-04,4,0,0.16973201789705206,0.21964736829023024,0.0,2994.042786213555,3055.861686986149
2022,2022-05,5,0,0.2765854301563164,0.21964736829023024,0.0,2678.9877538690944,3277.193751406582
