county,vhot_days__l1,hot_days__l1,trop_nights__l1,germ_block_days__l2,sun_ratio__l0,vcold_days__l1
익산시,-0.02358117694771553,-0.05504498973340174,0.07040877931512396,0.19143998378226956,-0.2914529300033895,-0.04419710385305534
남원시,-0.04290470958300714,-0.031127719351265584,0.17205516965377904,0.10430613475192596,-0.3452292223855666,0.029633425500531232
완주군,0.14454880956185046,-0.11398105575813555,0.14893045343095845,0.10909573022085081,-0.21056128874249339,-0.03253755577750881
장수군,0.10393699966935369,-0.021260253030908456,-0.012105058565681158,0.04753487451812383,-0.4449560438366651,-0.029369424169035277
전주시,0.08604544714414412,-0.054517783349327956,0.14005106318626742,0.22825269210951982,-0.17879216429247716,0.09982376487742398
김제시,0.10824242905153368,-0.08741246794525483,0.2878191218911991,0.23719990143581085,-0.13889410583088757,0.19284597445042512
순창군,0.0730185127314908,0.10951333616715556,0.16792731943795833,0.050903075903361884,-0.2234453755480633,0.09020740090249484
진안군,0.14811891186409237,0.02566697712388385,-0.038154215114206136,-0.09084571992863408,-0.3848527338397762,-0.1287157404474564
고창군,0.3038987462755168,0.2900228756860847,0.3828537404757354,-0.024720302194661703,-0.38101011890348463,0.1378392625004126
정읍시,0.2144935476197023,-0.07035979302928781,0.11832485654208859,0.21501164596249409,-0.14560255481067438,0.14151756185357636
부안군,0.23668427056485616,0.1340309573481861,0.11828369867055963,0.2960319031293993,-0.07394315948793492,0.003113923580799291
무주군,-0.12317866713031636,-0.08754234224196315,0.0060926363592268854,0.02400800054438698,-0.36073959062944544,
군산시,0.42782013179985945,0.24979910273513145,0.13149191214269165,-0.10321465587007837,-0.06170409423996134,0.2976921534830762
임실군,0.18846748654631715,-0.09771690284191199,0.1981169537595728,0.12345144341685625,-0.5692000364026779,0.042555512945208644
