county,year,rel,q,dtr,nwk,lq,y
고창군,2018,1.266040021457366,36374.0,10.333495668020328,33.0,10.501609512686963,0.23589393574788461
고창군,2019,1.2034738365649926,29850.0,10.984982053122756,31.0,10.303940118820748,0.18521223854892402
고창군,2020,1.2446556314644628,29260.0,10.985540474563031,35.0,10.283976674574115,0.218858890422131
고창군,2021,1.4022805381216992,24244.0,11.377048420424101,24.0,10.095924443071176,0.3380998671129773
고창군,2024,0.978208279466157,23855.0,8.601997424918405,32.0,10.079749117950207,-0.022032666931758038
고창군,2025,1.0681985053892025,50085.0,9.646189192658195,32.0,10.821476841045865,0.06597358973626163
김제시,2018,1.040164695834352,223459.0,9.815515534009753,53.0,12.316983231017478,0.03937906199462636
김제시,2019,1.0409515171630952,209701.7,9.84068695130818,52.0,12.253441323676418,0.04013521521790057
김제시,2020,1.0900143139247238,188444.0,9.590464912653097,52.0,12.146556159504419,0.08619082819585885
김제시,2021,1.0388815137127412,97184.0,10.587366527117926,50.0,11.484361367845475,0.03814466683914229
김제시,2022,1.0444075742717835,57328.5,9.584240822627487,49.0,10.956553161248259,0.04344981008749236
김제시,2023,1.0393171165758128,325227.6,9.640528610908614,52.0,12.692280523903174,0.03856387880772156
김제시,2024,1.0203752352863433,490378.3,9.0157654348548,53.0,13.102932413032926,0.020170437377466998
김제시,2025,1.0293870438653103,538743.0,9.566767867848995,52.0,13.19699392727624,0.02896352205405743
김제시,2026,1.0348152679741933,408360.0,9.993116857674602,31.0,12.919904417282952,0.03422292573789186
남원시,2018,1.1160663853083763,2741166.5,11.527749556881819,53.0,14.823894117693987,0.10981034723330212
남원시,2019,1.1130827818167615,2724556.5,11.522492105202655,52.0,14.817816220540312,0.1071334467214172
남원시,2020,1.1203230778287214,2638199.9,11.173961117524545,52.0,14.785607386492323,0.11361710605681234
남원시,2021,1.173869589732911,2198992.1,11.281559933536736,52.0,14.60350967698838,0.16030563323661848
남원시,2022,1.195632343739252,2672415.0,11.55101042743308,52.0,14.798493115949903,0.17867520336957737
남원시,2023,1.176114312966305,3481803.5,11.295233546965777,52.0,15.063060964633431,0.16221604965566525
남원시,2024,1.1950398140682474,3442972.6,10.35210498625519,53.0,15.051845784112984,0.17817950204039057
남원시,2025,1.1770071331868406,4240493.2,10.788847416212272,52.0,15.260190141198123,0.1629748887413728
남원시,2026,1.1488592140816754,3429799.2,10.940295257768195,31.0,15.048012275154404,0.1387694622746133
무주군,2018,0.7164032239003854,2264.0,12.463011105502272,22.0,7.724888439323074,-0.33351210866558123
무주군,2020,1.0164491499040145,7187.0,9.836709137530063,21.0,8.880029117468442,0.01631532814636456
무주군,2021,1.0174236347035146,10585.3,10.844221298809268,21.0,9.267221525160725,0.01727358362964136
무주군,2022,0.7471174290061666,9379.8,10.518331033558438,30.0,9.146313719811333,-0.2915329053926045
무주군,2023,0.6823384641642507,7604.0,10.464565642143233,25.0,8.93642970360832,-0.38222946247997813
무주군,2024,0.6758899047791797,7894.0,11.038503022186832,25.0,8.973858256222792,-0.391725078955444
무주군,2025,0.6875878654879709,9115.0,10.10434448710916,28.0,9.117676687112763,-0.37456565326155083
부안군,2022,0.9958776805990533,43904.0,8.168299666805497,22.0,10.689760711085556,-0.004130839582904118
부안군,2023,1.0111865798882185,78851.0,7.541869928273397,22.0,11.275315274618945,0.011124472851086236
부안군,2025,0.9482106933022896,111767.0,8.443821265924392,31.0,11.62417162618558,-0.05317855110218775
부안군,2026,0.983085608516012,67776.0,8.063239832051803,20.0,11.123963428961078,-0.017059073597486124
순창군,2018,1.0174319003743464,152868.5,11.928106696745427,53.0,11.937333353688157,0.017281707715788356
순창군,2019,1.0027850304877328,178630.5,11.976285658037655,52.0,12.093074705520914,0.002781159475915718
순창군,2020,0.985631144459287,212813.5,11.250091679871275,52.0,12.268171474287028,-0.01447308721016375
순창군,2021,1.0456692442650812,183065.5,12.184257742252285,47.0,12.117599291281492,0.044657105566160746
순창군,2022,1.091529872386576,355947.4,12.364330371766806,52.0,12.782538246108658,0.08758026482994752
순창군,2023,1.069190104531475,324361.0,12.177736142314094,52.0,12.689612372047945,0.06690145021873166
순창군,2024,1.0436098319271718,298090.5,11.28597302784605,53.0,12.605152410657848,0.04268569540046124
순창군,2025,1.0181172603479354,282788.5,11.85126898219492,52.0,12.552454547396957,0.017955098477074737
순창군,2026,0.9940605209326062,162452.8,12.680423887518627,31.0,11.998142777021345,-0.005957187928948649
완주군,2018,0.9148149110607036,1876305.9,12.789421520842025,53.0,14.444815454957011,-0.08903351716234657
완주군,2019,0.9211661591515855,1991446.8,12.38913705208839,52.0,14.50437196771451,-0.08211484732524207
완주군,2020,0.9094512879192499,1945228.5,11.909887909239016,52.0,14.480890008854159,-0.09491384164549546
완주군,2021,0.890450147997202,1708902.9,12.469276041705722,52.0,14.35136214363163,-0.11602815985518138
완주군,2022,0.9086457379363115,2079051.8,12.786089775568431,52.0,14.547422482354671,-0.095799988010839
완주군,2023,0.9218837280448074,2425943.0,12.567135424981426,52.0,14.701730872744323,-0.08133617178914924
완주군,2024,0.9241903904099797,2557587.2,11.774573508187716,53.0,14.754574872023346,-0.07883717833863454
완주군,2025,0.9028599544356884,2710953.3,12.42494858121364,52.0,14.812810902216606,-0.10218782681123476
완주군,2026,0.8874674817627459,1999323.0,13.459863120809247,31.0,14.508319181220163,-0.11938339857116571
익산시,2018,1.136115368555698,2264132.5,11.87009899565759,52.0,14.632702241327687,0.12761487196961305
익산시,2019,1.1560241753230027,1299420.7200000002,11.00751699330848,52.0,14.077429123122583,0.14498668294068578
익산시,2020,1.100559822922254,3493418.1,11.517132109911817,52.0,15.06639121316184,0.09581898027273265
익산시,2021,1.039587362305354,4714355.800000001,11.672268670151224,52.0,15.3661228369316,0.03882386740634043
익산시,2022,1.0068519829015856,5497548.5,11.49581965135395,52.0,15.519812823564044,0.006828614751457484
익산시,2023,1.0294958618489465,5670571.63,11.413247062989914,52.0,15.550800487200767,0.029069227903997186
익산시,2024,1.069812849852712,6145150.0,10.438429187245228,53.0,15.631173710773854,0.06748372649614923
익산시,2025,1.0533646282224824,6425301.100000001,11.15667225707357,52.0,15.675754051460713,0.0519894488271675
익산시,2026,1.0580594905282565,3894084.7,11.908401565364734,31.0,15.174969216090153,0.05643656108806024
임실군,2024,1.0442379077495734,47184.0,9.57945913869108,33.0,10.761810131055057,0.04328734448570036
임실군,2025,1.0051672186169744,60552.0,11.059775305286605,47.0,11.011257778989004,0.005153914353866757
장수군,2018,1.1912039682333284,908113.9,12.26678547544689,53.0,13.71912509024506,0.17496453367268464
장수군,2019,1.2323161119668393,908515.1,11.779927522865135,52.0,13.71956678748376,0.20889541658785177
장수군,2020,1.2275546525842815,794911.0,11.255347518688977,52.0,13.585985437684101,0.20502410318564715
장수군,2021,1.239368753941126,657665.6000000001,11.4386820314588,52.0,13.396451874439737,0.21460218059480737
장수군,2022,1.2842226560595917,595404.4,12.175354076273921,52.0,13.29699611752643,0.2501535983804143
장수군,2023,1.2434453289535083,580945.8999999999,11.32535997635187,52.0,13.272412916180132,0.21788601783724054
장수군,2024,1.2078927033867057,594330.7999999999,11.178804367630187,53.0,13.295191345689116,0.18887727386799552
장수군,2025,1.174676961241337,738480.7,11.095993608421802,52.0,13.512350246556553,0.16099318319375813
장수군,2026,1.1129066628951134,546191.1,11.599047168917357,31.0,13.21072419349133,0.10697520794590644
전주시,2018,1.06500295180133,604184.5,9.884054066739074,53.0,13.31163489384861,0.06297757080198874
전주시,2019,1.0956791696874724,552017.3,9.874043955299433,52.0,13.221334665347836,0.09137441728516356
전주시,2020,1.1662190731412108,517389.8,9.74189640825102,52.0,13.156551834585356,0.15376695462090942
전주시,2021,1.1067023037427723,372407.4,10.125271988994541,52.0,12.82774369529396,0.10138469591901243
전주시,2022,1.0591272437778594,382542.1,10.175323280010973,52.0,12.854593991551457,0.0574452140545911
전주시,2023,1.0798674522671377,423392.6,10.219978212049186,52.0,12.956055159967578,0.07683830422198147
전주시,2024,1.0338537518325976,430371.3,9.31531243901653,53.0,12.972403603450225,0.03329332684930118
전주시,2025,1.0514259131406472,411254.9,10.073272214246826,52.0,12.926968495884354,0.050147255419304045
전주시,2026,1.010268086942794,369427.5,10.30332779387411,31.0,12.819709789022403,0.010215728248791238
정읍시,2018,0.890454730008428,14528.0,9.969825755191945,32.0,9.583833100841074,-0.11602301414382689
정읍시,2020,0.8519910936049299,10481.0,9.805791432115255,25.0,9.257319373170178,-0.16017920572280023
진안군,2018,1.1104309291648609,63263.2,12.626194386535708,48.0,11.055059080468032,0.10474816445746822
진안군,2019,1.1303223409763126,81713.3,11.247208427863901,44.0,11.310972058296802,0.12250284954722543
진안군,2020,1.1255099476443897,82567.5,11.073103953907843,48.0,11.321371419612667,0.11823621974797217
진안군,2021,1.1307334269893945,89307.1,11.349808693821654,49.0,11.39983627098289,0.12286647261520604
진안군,2022,1.1893674684052882,159948.6,11.733909062929323,50.0,11.98260779260413,0.173421626651202
진안군,2023,1.134308437888415,222361.1,11.167496116516269,51.0,12.31205791598807,0.12602315940594983
진안군,2024,1.1291779370700066,360639.8,10.981825680756415,50.0,12.795634955263742,0.12148987865690758
진안군,2025,1.1103329456686006,555871.2,10.817079710705851,49.0,13.228291891720371,0.10465992140071267
