county,물량t,평균상자kg,소형상자%,특비율%,경매비율%,건당물량kg,시장수,최대시장집중%,주당거래일,적상추%,상대값
남원시,8711.7267,2.2380964901022438,88.05807693668811,54.760969377236414,99.78247710640417,368.2671077105174,11,22.425937673182517,5.814814814814815,1.6031965281922813,1.1104027399903396
군산시,4.04,4.0,0.0,100.0,100.0,93.95348837209302,4,68.61386138613862,3.2,1.6831683168316833,1.1010094199373737
진안군,858.0245,3.078306516888504,46.078905672273926,62.10185765750391,99.25083724299247,272.30228498889244,9,65.37974148756824,5.7407407407407405,12.411242336320234,1.0560951562301817
순창군,233.1248,3.4521005058234904,27.39253824560922,82.75264254645698,98.74573618937153,87.90527903469079,4,68.8119839673857,5.7592592592592595,0.6408584586453264,1.0452115908260802
익산시,7343.712199999999,3.9229126687453797,3.8578581551711686,99.43759944460028,97.93763704410965,529.3528580696316,20,67.24579974689095,5.814814814814815,5.522905704284,1.023602943822292
장수군,1114.218,3.0426203669299903,47.846722993166516,89.23702166837879,99.78388430271275,162.54091903719913,12,54.223141252429954,5.777777777777778,18.604806240789504,1.008739425490068
김제시,579.466,3.8833822864499385,5.8298502414291775,99.95599350606874,97.02415672360415,156.02207862143243,12,37.889367106957096,5.777777777777778,6.951227509465611,0.9986398796548848
임실군,40.094,2.568464109343044,71.57679453284781,98.74552927988043,99.51114880031925,97.79024390243903,6,38.44465506060757,4.2439024390243905,0.7282885219733626,0.989003791844843
전주시,526.2755999999999,3.9647957458031495,1.7519337776632626,100.0,99.96047698202236,240.85839816933637,10,94.0840882609796,5.777777777777778,13.211423824323226,0.9798544182870124
고창군,56.007,2.706822361490528,64.6562036888246,78.4875721458821,98.68587855089542,125.5762331838565,5,63.306372417733506,4.2272727272727275,11.455710893281196,0.963028629715219
정읍시,30.465400000000002,3.7677555522002004,9.513086977357919,21.19864729458918,33.68214433422834,28.419216417910448,5,88.36713123740374,5.611111111111111,64.00014442613586,0.9427182304420431
완주군,3072.1321000000003,3.90603156355158,4.942687848611718,99.66234050670803,98.90616682791733,351.8245648190564,12,37.538854530376476,5.796296296296297,42.612552370387974,0.9042851018061684
부안군,247.244,3.997087896976266,0.09707010079112131,99.48057411932231,99.12475125786673,260.8059071729958,8,47.158272799339926,4.39622641509434,0.1520764912394234,0.8845231647443874
무주군,9.582,3.780839073262367,10.905865163848883,71.92057089668012,98.70590690878731,39.925,5,65.36213734084743,3.0952380952380953,16.186599874765186,0.636327666039994
