county,wk,rel,ncell,dtr,nday,month,woy,lrel,y,hi
고창군,2018-06-11,1.2419102374464255,2,9.214285714285714,7,6,24,0.21665070831207864,0.2730811065172615,False
고창군,2018-06-25,1.2653632730735402,3,7.128571428571427,7,6,26,0.23535925334353558,0.10251121203272018,False
고창군,2018-07-02,0.8636825780430495,2,7.200000000000001,7,7,27,-0.14654996420529243,-0.16875349977867996,False
고창군,2018-07-23,1.3628496122359404,2,10.085714285714285,7,7,30,0.3095778107765739,0.37958216982975135,True
고창군,2018-07-30,1.0132959056144624,2,10.314285714285713,7,7,31,0.013208290819011714,-0.041756475014715286,True
고창군,2018-08-13,1.582610964824592,2,10.828571428571427,7,8,33,0.4590759925302541,0.39110406827021105,True
고창군,2018-08-20,1.5519157595732158,2,7.6000000000000005,7,8,34,0.4394901416623838,0.3287294396950521,False
고창군,2018-08-27,1.1283141918969863,2,6.242857142857143,7,8,35,0.12072465320687327,0.1329475673015331,False
고창군,2018-09-10,1.1148193206542205,3,9.157142857142858,7,9,37,0.1086923475251886,0.0,False
고창군,2018-09-17,1.4633557938982928,2,9.157142857142858,7,9,38,0.38073228720661634,0.18750047974518816,False
고창군,2018-09-24,1.1179875336084075,2,11.714285714285714,7,9,39,0.11153022405214089,0.14006795944711775,True
고창군,2019-07-01,1.1005343495779607,2,10.657142857142857,7,7,27,0.09579583419873669,0.07359229862534916,True
고창군,2019-07-08,1.2563031943962102,2,6.828571428571428,7,7,28,0.22817343572675378,0.46212190229145067,False
고창군,2019-07-15,0.8417632482168693,2,7.757142857142857,7,7,29,-0.17225648216742867,-0.014629588347153055,False
고창군,2019-07-29,1.6094932059241565,3,9.000000000000002,7,7,31,0.47591935051399,0.420954584680263,False
고창군,2019-08-12,1.543897521533367,2,6.842857142857142,7,8,33,0.43431007733598004,0.366338153075937,False
고창군,2019-08-19,1.5786272737372797,2,8.857142857142858,7,8,34,0.45655565531083725,0.3457949533435055,False
고창군,2020-06-01,0.9970326007989849,2,10.342857142857143,7,6,23,-0.0029718106592240166,0.0,True
고창군,2020-06-08,0.839493790350285,2,9.799999999999999,7,6,24,-0.17495619933491793,-0.11852580112973513,False
고창군,2020-08-03,1.359611681201752,2,4.757142857142858,7,8,32,0.30719913044880587,0.2584697828006653,False
고창군,2020-08-10,1.0645606269746795,2,6.114285714285714,7,8,33,0.06256215720511862,-0.005409767054924408,False
고창군,2020-08-24,1.424413306928788,2,8.014285714285716,7,8,35,0.35376001450701705,0.36598292860167686,False
고창군,2020-08-31,1.1333978358854453,2,6.371428571428572,7,8,36,0.1252200553510342,0.17422325402470296,False
고창군,2020-09-14,1.1671668209366874,2,9.371428571428572,7,9,38,0.15457929162011697,-0.038652515841311214,False
고창군,2020-09-21,0.9012001924497998,3,11.071428571428571,7,9,39,-0.10402785687569081,-0.07549012148071396,True
고창군,2020-09-28,1.0774148320097052,2,10.271428571428572,7,9,40,0.07456449765339401,0.11324939475041859,True
고창군,2021-06-28,1.3596203450821949,2,8.085714285714285,7,6,26,0.3072055027483075,0.1743574614374921,False
고창군,2021-07-05,1.0986409012798588,2,5.485714285714285,7,7,27,0.09407387159914185,0.07187033602575432,False
고창군,2021-07-12,0.6053115384045717,3,8.442857142857143,7,7,28,-0.5020120139754605,-0.26806354741076355,False
고창군,2021-08-30,0.6140185754737337,2,6.066666666666666,6,8,35,-0.4877300980780638,-0.47550718398340397,False
고창군,2022-06-13,0.8097856438239042,2,7.485714285714286,7,6,24,-0.21098570359270913,-0.15455530538752632,False
고창군,2022-06-20,0.8945360415216352,5,7.828571428571427,7,6,25,-0.11145008447880127,-0.11830332234382118,False
고창군,2022-06-27,0.9362343852325908,3,7.314285714285715,7,6,26,-0.0658894222790091,-0.1987374635898245,False
고창군,2022-07-04,0.9187033072454017,3,8.157142857142857,7,7,27,-0.0847920517923958,-0.10699558736578332,False
고창군,2022-07-11,0.7491918842580662,3,7.042857142857143,7,7,28,-0.2887601410148347,-0.05481167445013779,False
고창군,2022-07-18,0.6301881127003837,3,6.385714285714285,7,7,29,-0.46173691257824445,-0.30411001875796884,False
고창군,2023-07-17,0.9321581916448711,2,6.92857142857143,7,7,29,-0.07025274517511094,0.08737414864516467,False
고창군,2023-07-24,0.7999608564289261,3,8.671428571428573,7,7,30,-0.22319248197513739,-0.15318812292195993,False
고창군,2023-07-31,1.212173659373648,2,10.585714285714285,7,7,31,0.19241516069464026,0.13745039486091326,True
고창군,2023-08-07,1.0179914886327746,2,7.642857142857143,7,8,32,0.017831557221840953,-0.030897790426299622,False
고창군,2023-09-25,0.9226076486041659,2,7.957142857142857,7,9,39,-0.08055121762162787,-0.05201348222665102,False
고창군,2024-06-17,1.1333258729133682,3,10.485714285714286,7,6,25,0.1251565602088411,0.11830332234382118,True
고창군,2024-06-24,1.0562414779360016,3,8.142857142857142,7,6,26,0.05471683143042761,-0.0781312098803878,False
고창군,2024-07-01,1.1070726201829915,3,6.9,7,7,27,0.1017192524628335,0.07951571688944598,False
고창군,2024-07-08,1.0075190492882402,4,5.157142857142857,7,7,28,0.007490922142081085,0.241439388706778,False
고창군,2024-07-15,1.0818392466230748,5,5.614285714285714,7,7,29,0.0786625987979312,0.2362894926182068,False
고창군,2024-07-22,1.0650775923480358,5,5.942857142857144,7,7,30,0.06304765317229287,0.1330520122254703,False
고창군,2024-07-29,1.1859349968207076,3,7.9,7,7,31,0.17053149032196788,0.11556672448824087,False
고창군,2024-08-05,1.034405028538541,4,9.485714285714286,7,8,32,0.033826409773189035,-0.01490293787495154,False
고창군,2024-08-12,0.893294902207083,5,9.057142857142859,7,8,33,-0.11283851498817202,-0.18081043924821505,False
고창군,2024-08-19,0.6370782842358251,5,8.5,7,8,34,-0.4508627357712905,-0.5616234377386222,False
고창군,2024-08-26,0.787594984721353,2,10.042857142857143,7,8,35,-0.23877130003663735,-0.22654838594197751,True
고창군,2024-09-30,0.7421879144077859,2,10.442857142857145,7,9,40,-0.2981528139592681,-0.2594679168622436,True
고창군,2025-06-30,1.0757028599904965,2,8.085714285714287,7,6,27,0.07297427117730135,0.05077073560391382,False
고창군,2025-07-07,0.931302237286767,2,9.914285714285715,7,7,28,-0.07117141713080578,0.16277704943389115,False
고창군,2025-07-14,0.8860274070317792,2,6.528571428571429,7,7,29,-0.1210073954110392,0.03661949840923641,False
고창군,2025-07-21,0.9790814035564925,3,10.014285714285716,7,7,30,-0.021140490208174708,0.048863868845002725,True
고창군,2025-07-28,0.9882507405413246,4,10.285714285714286,7,7,31,-0.011818827459481198,-0.0667835932932082,True
고창군,2025-08-04,0.8487931967518939,5,6.871428571428571,7,8,32,-0.16393970685127357,-0.21266905449941415,False
