county,wk,rel,ncell,dtr,trop,nday,woy,dtr2,trop2,dtr4,trop4,lrel,y,d_dtr,d_dtr2,d_dtr4,d_trop,d_trop2,d_trop4
고창군,2018-03-05,1.5519249687428607,2,10.571428571428571,0.0,7,10,10.971428571428572,0.0,9.757142857142856,0.0,0.4394960757101981,0.31746615434724157,-0.7122448979591827,-0.08265306122448912,-0.4244897959183689,0.0,0.0,0.0
고창군,2018-03-12,1.5870732848010416,2,11.914285714285715,0.0,7,11,11.242857142857144,0.0,10.607142857142858,0.0,0.4618916186766058,0.31463379424028526,-0.10571428571428498,-0.9314285714285688,-0.9592857142857127,0.0,0.0,0.0
고창군,2018-03-19,1.45269746942277,2,9.9,0.0,7,12,10.907142857142858,0.0,10.939285714285715,0.0,0.3734221519131982,0.19210125171658302,-2.352380952380953,-1.0404761904761894,-0.2994047619047624,0.0,0.0,0.0
고창군,2018-04-02,1.305220337360372,2,9.0,0.0,7,14,9.45,0.0,10.346428571428572,0.0,0.26637186741181185,0.09882861869828696,-3.480952380952381,-2.9190476190476193,-1.8398809523809536,0.0,0.0,0.0
고창군,2018-04-09,1.1961300458589244,2,12.27142857142857,0.0,7,15,10.635714285714286,0.0,10.771428571428572,0.0,0.17909138361308372,-0.011344170297126671,0.8742857142857137,-1.3271428571428565,-1.5885714285714272,0.0,0.0,0.0
고창군,2018-04-16,1.1318015474403804,2,16.37142857142857,0.0,7,16,14.32142857142857,0.0,11.885714285714284,0.0,0.12381065296371578,0.029655119779224054,2.445714285714283,1.6599999999999984,-0.7457142857142873,0.0,0.0,0.0
고창군,2018-04-23,1.1722226993063412,2,11.571428571428571,0.0,7,17,13.971428571428568,0.0,12.303571428571427,0.0,0.1589016895769648,-0.11509171705694546,1.6952380952380963,1.9547619047619023,0.17976190476190546,0.0,0.0,0.0
고창군,2018-05-07,1.030231503610479,2,8.957142857142857,0.0,7,19,10.264285714285714,0.0,12.292857142857141,0.0,0.029783537773495693,-0.03332012017266851,-2.305714285714286,-1.54142857142857,0.41857142857142726,0.0,0.0,0.0
고창군,2018-05-14,1.3335348451624895,5,10.485714285714284,0.0,7,20,9.721428571428572,0.0,11.84642857142857,0.0,0.28783319490407505,0.06237094895222131,-0.2476190476190503,-1.6404761904761909,0.1999999999999975,0.0,0.0,0.0
고창군,2018-05-21,0.929648627188741,2,14.742857142857144,0.0,7,21,12.614285714285714,0.0,11.439285714285713,0.0,-0.07294858445404051,-0.0676744238646681,1.7047619047619058,0.7285714285714278,-0.5976190476190464,0.0,0.0,0.0
고창군,2018-06-11,1.2419102374464255,2,9.214285714285714,0.0,7,24,11.978571428571428,0.0,10.85,0.0,0.21665070831207864,0.2730811065172615,0.3809523809523796,1.011904761904761,0.24166666666666714,0.0,0.0,0.0
고창군,2018-06-25,1.2653632730735402,3,7.128571428571427,0.0,7,26,8.17142857142857,0.0,10.39285714285714,0.0,0.23535925334353558,0.10251121203272018,-0.5392857142857155,-0.4499999999999993,0.07946428571428399,-1.0,-1.0,-1.0
고창군,2018-07-02,0.8636825780430495,2,7.200000000000001,0.0,7,27,7.164285714285715,0.0,9.571428571428571,0.0,-0.14654996420529243,-0.16875349977867996,-0.5476190476190466,-1.0654761904761898,0.2857142857142847,-1.0,-1.6666666666666667,-1.6666666666666667
고창군,2018-07-23,1.3628496122359404,2,10.085714285714285,3.0,7,30,8.642857142857144,3.0,8.407142857142857,3.0,0.3095778107765739,0.37958216982975135,1.6828571428571415,1.1714285714285717,0.044285714285713595,-0.3999999999999999,-1.2000000000000002,-3.5999999999999996
고창군,2018-07-30,1.0132959056144624,2,10.314285714285713,3.0,7,31,10.2,6.0,8.682142857142857,6.0,0.013208290819011714,-0.041756475014715286,0.709523809523807,1.2499999999999982,0.3982142857142854,0.8333333333333335,1.0,-0.833333333333333
고창군,2018-08-13,1.582610964824592,2,10.828571428571427,2.0,7,33,10.571428571428571,5.0,9.607142857142856,8.0,0.4590759925302541,0.39110406827021105,2.7228571428571424,2.475714285714286,1.251428571428571,-0.20000000000000018,0.20000000000000018,-0.5999999999999996
고창군,2018-08-20,1.5519157595732158,2,7.6000000000000005,0.0,7,34,9.214285714285715,2.0,9.707142857142857,8.0,0.4394901416623838,0.3287294396950521,-1.0785714285714283,0.5732142857142861,0.9053571428571434,-0.75,-0.5,0.75
고창군,2018-08-27,1.1283141918969863,2,6.242857142857143,0.0,7,35,6.921428571428573,0.0,8.74642857142857,5.0,0.12072465320687327,0.1329475673015331,-1.59904761904762,-1.0409523809523797,0.6466666666666647,-0.6,-2.6,-0.5999999999999996
고창군,2018-09-10,1.1148193206542205,3,9.157142857142858,0.0,7,37,7.700000000000001,0.0,8.457142857142857,2.0,0.1086923475251886,0.0,0.0,0.0,0.0,0.0,0.0,0.0
고창군,2018-09-17,1.4633557938982928,2,9.157142857142858,0.0,7,38,9.157142857142858,0.0,8.039285714285715,0.0,0.38073228720661634,0.18750047974518816,0.5666666666666682,0.7714285714285722,-0.034523809523809845,0.0,-0.3333333333333333,-2.3333333333333335
고창군,2018-09-24,1.1179875336084075,2,11.714285714285714,0.0,7,39,10.435714285714287,0.0,9.067857142857143,0.0,0.11153022405214089,0.14006795944711775,2.253571428571428,1.5285714285714285,0.4330357142857153,0.0,0.0,-0.75
고창군,2018-10-01,1.1369490577855557,3,9.814285714285713,0.0,7,40,10.764285714285712,0.0,9.960714285714285,0.0,0.12834840970622888,0.07635426912336445,0.17142857142857082,1.154285714285713,0.850714285714286,0.0,0.0,-1.2
고창군,2018-10-08,1.4428762406441962,2,11.028571428571428,0.0,7,41,10.42142857142857,0.0,10.428571428571429,0.0,0.3666385107943411,0.2468862403193243,-0.02571428571428669,0.07285714285714207,0.7642857142857142,0.0,0.0,-0.6
