계절,가격,고온,발아,야간,광,강수,저온,n_feat,mape,baseline,wins,n_fold,mape_std,worst_fold,y2020,y2021,y2022,y2023,y2024,y2025
0,0,0,0,0,0,0,1,1,27.06973343944445,25.4476571326886,1,6,9.160992448698172,44.74648007426542,44.74648007426542,25.799278409644476,25.416306471072343,20.874946732363775,26.5194968052272,19.061892144093516
0,0,0,0,0,0,1,0,2,26.85524239095844,25.4476571326886,2,6,11.040708652696166,48.12363012795864,48.12363012795864,24.125930585846657,24.91310300936668,23.081367156306985,25.41680370348255,15.470619762789148
0,0,0,0,0,0,1,1,3,27.565903060218414,25.4476571326886,2,6,12.686451784864442,52.36138016243985,52.36138016243985,24.095337494664108,24.852230930677575,23.238480041084923,25.412254716146286,15.435735016297745
0,0,0,0,0,1,0,0,2,25.50015275557725,25.4476571326886,3,6,5.386659601787369,35.51457967978155,35.51457967978155,21.581259809326657,25.69192627386628,24.931903030344014,25.16258184520046,20.11866589494454
0,0,0,0,0,1,0,1,3,25.591733818556147,25.4476571326886,3,6,6.046265571240359,36.43149654721042,36.43149654721042,21.615255085858763,27.04902022609427,26.207795484193607,22.9994355938372,19.2473999741426
0,0,0,0,0,1,1,0,4,26.86631698456522,25.4476571326886,2,6,11.463178031078364,49.134631502706064,49.134631502706064,24.624912045141354,25.423556010545507,23.563276286698954,22.857068496795016,15.59445756550443
0,0,0,0,0,1,1,1,5,27.560486233970437,25.4476571326886,2,6,12.985838129664256,53.05212910343141,53.05212910343141,24.590574556149516,25.438718691837327,23.874292503356195,22.860837520496027,15.54636502855215
0,0,0,0,1,0,0,0,1,24.628820425908234,25.4476571326886,4,6,7.05826777635186,37.73217461827264,37.73217461827264,23.4975079050784,25.558169814336836,19.88600773370973,23.670332252388818,17.428730231662986
0,0,0,0,1,0,0,1,2,24.586710068275167,25.4476571326886,4,6,6.991939205572652,37.7990502777876,37.7990502777876,23.508503408997775,24.84556076182062,20.25519049347329,23.504276738896593,17.60767872867509
0,0,0,0,1,0,1,0,3,25.099407047751427,25.4476571326886,3,6,8.542718824378701,40.975696502156396,40.975696502156396,23.610454421543714,25.130327970697653,22.3981530182919,23.404729165940317,15.077081207878585
0,0,0,0,1,0,1,1,4,25.429433043382115,25.4476571326886,2,6,9.280597072564703,42.963380427517926,42.963380427517926,23.57972385675094,25.108366868731807,22.440764721172922,23.37662688894252,15.107735497176575
0,0,0,0,1,1,0,0,3,25.00361844889784,25.4476571326886,3,6,6.459808657277083,36.31121900062179,36.31121900062179,23.04011737030717,27.37179396487322,23.02784458372653,23.298974057994805,16.97176171586351
