entity,ym,forecast_price,pred_lower_90,pred_upper_90,reference_mape_pct,spike_prob,spike_threshold,lag1_actual,lag12_actual,months_beyond_actual
전북_전체,2026-09,19100.37713938352,10572.157986999464,34508.03585373086,26.64,0.5334356629101302,18532.710496994638,True,True,1
전북_전체,2026-10,16049.729511576756,6953.235592286829,37046.611462514615,26.64,0.34455841092194395,18532.710496994638,False,True,2
전북_전체,2026-11,11096.671731537865,3983.51516698403,30911.423292192325,26.64,0.07687291959046527,18532.710496994638,False,True,3
전북_전체,2026-12,9276.675041590552,2842.0763948854756,30279.516758287842,26.64,0.027136985018155757,18532.710496994638,False,True,4
전북_전체,2027-01,12378.203580471143,3298.073156115666,46457.40607526266,26.64,0.13083166806833457,18532.710496994638,False,True,5
전북_전체,2027-02,9744.560093490445,2288.450284056156,41493.779470420166,26.64,0.036904562712568145,18532.710496994638,False,True,6
전북_전체,2027-03,8422.807886983453,1761.2491691307496,40280.327136247484,26.64,0.014146839087589624,18532.710496994638,False,True,7
전북_전체,2027-04,8112.264304675835,1522.5814904659915,43221.87847481102,26.64,0.010790371323448289,18532.710496994638,False,True,8
전북_전체,2027-05,8692.193172770767,1473.9897897462647,51258.30767509507,26.64,0.01761806694143686,18532.710496994638,False,True,9
전북_전체,2027-06,10855.684977078108,1672.3867906663588,70465.69428750624,26.64,0.06844297151191647,18532.710496994638,False,True,10
전북_전체,2027-07,14978.553722735429,2106.2065059914553,106521.87759683123,26.64,0.2768736144253289,18532.710496994638,False,True,11
전북_전체,2027-08,16256.26713849923,2094.92413508867,126145.96244892878,26.64,0.3577450134456319,18532.710496994638,False,True,12
전북_전체,2027-09,18436.408581589003,2185.1861992600866,155547.91692459918,26.64,0.4942197786548972,18532.710496994638,False,False,13
전북_전체,2027-10,14748.706691218207,1612.8848308613144,134866.63455531548,26.64,0.2626613871471809,18532.710496994638,False,False,14
전북_전체,2027-11,10721.411894353612,1084.8422995599822,105958.87812911694,26.64,0.06399172400216468,18532.710496994638,False,False,15
전북_전체,2027-12,9558.763085919694,897.1984311261892,101839.17911899468,26.64,0.03278630779803904,18532.710496994638,False,False,16
iksan,2026-09,28060.754236838515,16629.93553609147,47348.705990553375,25.57,0.7587542043816673,22443.82977500376,True,True,1
iksan,2026-10,22865.761909441455,10910.984701423271,47918.96258740625,25.57,0.5233497373685414,22443.82977500376,False,True,2
iksan,2026-11,13515.59806087107,5461.326317705458,33448.17363335471,25.57,0.055389343509198996,22443.82977500376,False,True,3
