crop_id,county_id,target_source,ym,forecast_price,pred_lower_90,pred_upper_90,reference_mape_pct,spike_prob,spike_threshold,lag1_actual,lag12_actual,months_beyond_actual
cherrytomato,gimje,origin,2026-09,21548.844161662964,14148.320513275205,32820.3396486487,21.672935043038745,0.4239460008526408,22632.327706556454,True,True,1
cherrytomato,gimje,origin,2026-10,20125.976695077512,11100.771144397124,36488.90087561583,21.672935043038745,0.3231538290151741,22632.327706556454,False,True,2
cherrytomato,gimje,origin,2026-11,19440.85226017014,9380.728166645236,40289.701384335596,21.672935043038745,0.27615034522524984,22632.327706556454,False,True,3
cherrytomato,gimje,origin,2026-12,18989.973596757787,8186.272167254209,44051.686755305454,21.672935043038745,0.2463363622521837,22632.327706556454,False,True,4
cherrytomato,gimje,origin,2027-01,17857.111790963238,6970.098408350568,45749.20221110888,21.672935043038745,0.17707763179769298,22632.327706556454,False,True,5
cherrytomato,gimje,origin,2027-02,16955.82211318052,6049.929489759016,47521.19905206917,21.672935043038745,0.1294371343534404,22632.327706556454,False,True,6
cherrytomato,gimje,origin,2027-03,20049.031533103534,6586.6429998624,61027.091558442924,21.672935043038745,0.31779467735707656,22632.327706556454,False,True,7
cherrytomato,gimje,origin,2027-04,18605.531531193956,5660.23482734359,61157.49860517923,21.672935043038745,0.2218291571539548,22632.327706556454,False,True,8
cherrytomato,gimje,origin,2027-05,14611.605513721544,4135.62037559397,51624.42301246147,21.672935043038745,0.0435561686571353,22632.327706556454,False,True,9
cherrytomato,gimje,origin,2027-06,11358.718000986635,3002.7613616386807,42967.27547990299,21.672935043038745,0.0035145271172625225,22632.327706556454,False,True,10
cherrytomato,gimje,origin,2027-07,12115.604540773493,3001.4728780074206,48905.28062537715,21.672935043038745,0.0072779928059212295,22632.327706556454,False,True,11
cherrytomato,gimje,origin,2027-08,12698.989487824616,2956.7299901280367,54541.44766357133,21.672935043038745,0.011930314401058184,22632.327706556454,False,True,12
cherrytomato,gimje,origin,2027-09,20791.707018434634,4561.283816322269,94774.87000337124,21.672935043038745,0.3700736929758224,22632.327706556454,False,False,13
cherrytomato,gimje,origin,2027-10,19942.04015471691,4131.401005459364,96259.10556898935,21.672935043038745,0.3103722054777842,22632.327706556454,False,False,14
cherrytomato,gimje,origin,2027-11,18557.898577750573,3637.984140570952,94666.60279833617,21.672935043038745,0.21885884283366908,22632.327706556454,False,False,15
cherrytomato,gimje,origin,2027-12,18617.528292387255,3459.7575009924453,100184.00411543663,21.672935043038745,0.22257966396563167,22632.327706556454,False,False,16
cherrytomato,gochang,origin,2026-08,12988.0859844486,8691.590300527674,19408.459408077346,24.016264567827708,0.0012205335177557508,27222.221933333334,True,True,1
cherrytomato,gochang,origin,2026-09,21014.219521301056,11907.195796021704,37086.601216129486,24.016264567827708,0.14456931404992845,27222.221933333334,False,True,2
cherrytomato,gochang,origin,2026-10,23264.919801642907,11602.521532278497,46649.9020812922,24.016264567827708,0.2600070033016384,27222.221933333334,False,True,3
cherrytomato,gochang,origin,2026-11,23573.184516241006,10556.65767106892,52639.29603018732,24.016264567827708,0.2777910593614289,27222.221933333334,False,True,4
cherrytomato,gochang,origin,2026-12,21677.771551522354,8829.614147233176,53221.55324162682,24.016264567827708,0.17548818352848206,27222.221933333334,False,True,5
cherrytomato,gochang,origin,2027-01,21701.025617600633,8112.912575630344,58047.527132285046,24.016264567827708,0.17662433837110292,27222.221933333334,False,True,6
cherrytomato,gochang,origin,2027-02,22565.868072100544,7796.713101547814,65311.93276130117,24.016264567827708,0.22116492680036404,27222.221933333334,False,True,7
cherrytomato,gochang,origin,2027-03,25651.645542053346,8235.836014720506,79895.58289395782,24.016264567827708,0.40385979313177434,27222.221933333334,False,True,8
cherrytomato,gochang,origin,2027-04,21387.895512273062,6409.591153661594,71368.37022476671,24.016264567827708,0.16161806438267035,27222.221933333334,False,True,9
cherrytomato,gochang,origin,2027-05,16968.281529782253,4764.21620282732,60434.40637792259,24.016264567827708,0.026445186768236928,27222.221933333334,False,True,10
cherrytomato,gochang,origin,2027-06,12498.494330982674,3298.2689992510514,47361.922443887284,24.016264567827708,0.0007165185000205243,27222.221933333334,False,True,11
cherrytomato,gochang,origin,2027-07,11329.229665102674,2817.747203507977,45551.08586208524,24.016264567827708,0.00016523416498848142,27222.221933333334,False,True,12
cherrytomato,gochang,origin,2027-08,12443.064334079118,2923.8405075541878,52954.273539204776,24.016264567827708,0.0006726991087300238,27222.221933333334,False,False,13
cherrytomato,gochang,origin,2027-09,21217.69859546194,4720.428824514007,95370.72804698358,24.016264567827708,0.15373406512849708,27222.221933333334,False,False,14
cherrytomato,gochang,origin,2027-10,23515.212002239427,4962.754593550955,111423.0383724469,24.016264567827708,0.2744197302178255,27222.221933333334,False,False,15
cherrytomato,gochang,origin,2027-11,22926.461119968277,4597.83507579167,114319.58972449957,24.016264567827708,0.2409217927552122,27222.221933333334,False,False,16
cherrytomato,gochang,origin,2027-12,21820.554659989037,4164.922063507223,114320.65196164108,24.016264567827708,0.18251789924492445,27222.221933333334,False,False,17
cherrytomato,gunsan,origin,2026-09,17196.64305452531,9869.478908744972,29963.540636651367,40.45511190130107,0.146207407053924,24534.942004971006,True,True,1
cherrytomato,gunsan,origin,2026-10,18289.399963345706,8339.934305091117,40108.487523101096,40.45511190130107,0.1920615482205481,24534.942004971006,False,True,2
cherrytomato,gunsan,origin,2026-11,18883.814242795852,7217.829416966563,49405.218626832975,40.45511190130107,0.2190008312132039,24534.942004971006,False,True,3
cherrytomato,gunsan,origin,2026-12,17377.772382346047,5723.941642555582,52758.5695017324,40.45511190130107,0.1534382064072648,24534.942004971006,False,True,4
cherrytomato,gunsan,origin,2027-01,20744.163701476762,5993.346131965464,71799.6788769726,40.45511190130107,0.3095195238717007,24534.942004971006,False,True,5
cherrytomato,gunsan,origin,2027-02,20126.6948533405,5165.107314677995,78426.99503422358,40.45511190130107,0.2786910452879352,24534.942004971006,False,True,6
cherrytomato,gunsan,origin,2027-03,22734.108458175207,5231.8639818153,98786.91211860323,40.45511190130107,0.4106629319886711,24534.942004971006,False,True,7
cherrytomato,gunsan,origin,2027-04,21339.691250731652,4437.255905486943,102627.03625306899,40.45511190130107,0.33967087748601354,24534.942004971006,False,True,8
cherrytomato,gunsan,origin,2027-05,16158.670373587523,3054.620493011428,85477.92723830139,40.45511190130107,0.10799177504146429,24534.942004971006,False,True,9
cherrytomato,gunsan,origin,2027-06,13552.993540554626,2341.2818671778095,78454.30167352229,40.45511190130107,0.03935340686966393,24534.942004971006,False,True,10
cherrytomato,gunsan,origin,2027-07,11593.895612788536,1838.345473081228,73119.23544758986,40.45511190130107,0.013183050852442646,24534.942004971006,False,True,11
cherrytomato,gunsan,origin,2027-08,12404.459994584982,1812.2230553570112,84907.11300819782,40.45511190130107,0.021661837459581168,24534.942004971006,False,True,12
cherrytomato,gunsan,origin,2027-09,18697.80502473387,2525.305397218008,138441.8348482157,40.45511190130107,0.2104391637495484,24534.942004971006,False,False,13
cherrytomato,gunsan,origin,2027-10,18967.690976542566,2375.2855747173776,151465.28266371583,40.45511190130107,0.22289797953862456,24534.942004971006,False,False,14
